,Year,State,Total Housing,Total Vacancies,Total Renter Occupied,Owner Occupied,For Rent,For Sale,County
178,2013, Arizona,110838,19489,27446,63903,1690,3000,Yavapai County
223,2014, Arizona,111291,19783,27460,64048,1784,2649,Yavapai County
268,2015, Arizona,111731,19421,27811,64499,1632,2336,Yavapai County
313,2016, Arizona,112854,19409,27930,65515,2151,1856,Yavapai County
358,2017, Arizona,113915,19572,27660,66683,1992,1805,Yavapai County
403,2018, Arizona,115213,19206,26952,69055,1649,1559,Yavapai County
448,2019, Arizona,116842,18456,27565,70821,1569,1064,Yavapai County
44,2010, Arizona,86984,17421,21129,48434,2069,1091,Yuma County
89,2011, Arizona,87549,17556,20717,49276,2134,1324,Yuma County
134,2012, Arizona,88064,17953,21335,48776,2144,1382,Yuma County
179,2013, Arizona,88505,18383,21344,48778,2227,1301,Yuma County
224,2014, Arizona,88823,18908,21468,48447,2250,1258,Yuma County
269,2015, Arizona,89330,18691,22558,48081,2166,1092,Yuma County
314,2016, Arizona,90071,19147,23098,47826,2164,1112,Yuma County
359,2017, Arizona,90931,19261,23289,48381,2012,1203,Yuma County
404,2018, Arizona,91685,19222,23851,48612,1911,1212,Yuma County
449,2019, Arizona,92625,19527,24050,49048,1653,907,Yuma County
0,2010,District of Columbia,293492,36175,145438,111879,10229,3774,
1,2011,District of Columbia,295510,35374,148755,111381,10075,3457,
2,2012,District of Columbia,296671,35479,150339,110853,10423,3458,
3,2013,District of Columbia,298327,34678,152579,111070,10518,3090,
4,2014,District of Columbia,300798,33383,156217,111198,10767,2567,
5,2015,District of Columbia,303312,29922,160640,112750,9549,2138,
6,2016,District of Columbia,306711,30165,163874,112672,10256,2000,
7,2017,District of Columbia,308161,30176,162190,115795,10294,1875,
8,2018,District of Columbia,311545,30223,163751,117571,10492,1905,
9,2019,District of Columbia,315176,30790,166019,118367,11319,1920,
