NAME,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Riverside-San Bernardino-Ontario, CA\29",1.2,1.8,3.8,5.2,4,4.7,3.5,3.3,1.8,2
"Rochester, NY",1.3,1,1.4,1.7,1.3,1.1,1,0.5,0.2,1.1
"Sacramento-Arden-Arcade-Roseville, CA\30",1.2,3.3,4.2,4.8,4,2.9,2.4,2.3,1.2,1
"St Louis, MO-IL",2.1,2.2,1.7,3.1,1.8,2.1,2.9,3.1,3.5,2.4
"Salt Lake City, UT\31",1.5,2.7,2.2,1.8,2.3,2.2,2.2,0.8,1.5,1.8
"San Antonio, TX ",1.7,2.4,2.4,1.5,1.2,1.6,1.5,2.7,1.4,1.2
San Diego-Carlsbad-San Marcos\32,2.1,2.8,3,2.7,2.1,2.9,1.9,1.4,1.2,1.3
"San Francisco-Oakland-Fremont, CA\33",1.6,2.4,1.3,2.1,1.8,1.8,1.8,1,1.1,0.4
"San Jose-Sunnyvale-Santa Clara, CA\34",1.5,1.6,0.8,2,1.4,0.9,0.9,0.9,0.6,0.6
"Seattle-Tacoma-Bellevue, WA",1,0.9,1.8,1.9,2.8,3.2,2.6,2.3,1.7,1.2
"Springfield, MA",0.4,0.6,1.4,1.9,1.4,0.7,2.1,0.4,0.5,1.5
"Syracuse, NY",1.1,1.9,3.1,2.3,0.8,1.3,0.3,0.8,0.4,2.7
"Tampa-St Petersburg-Clearwater, FL",1.8,3.5,5.1,3,4.1,4,3.8,2,2.1,2.4
"Toledo, OH",2.4,2.3,2.4,2.1,3.2,5.5,4.4,3.3,0.9,2.9
"Tucson, AZ ",1.5,1.9,2.2,1.8,2.7,3.2,4.2,1.4,1.9,2.1
"Tulsa, OK",3.3,1.9,3.3,3,2.4,1.4,2.5,2.4,2.4,1.2
"Virginia Beach-Norfolk-Newport News, VA\35",0.6,1.2,3.5,3.2,2.3,2.8,3.2,2.9,2.5,2
"Washington-Arlington-Alexandria, DC-VA-MD-WV\36",1.3,2.1,2.4,2.7,2.3,2.1,1.8,1.3,1.3,1.4
"Worcester, MA",1.4,1.5,0.5,1.3,1.8,2.3,1.3,2.4,3.1,1.9
