State,Year,County,CountyID,Population Change Abs,Pop Change (%),Population
AZ,2011,Greenlee,GreenleeAZ2011,1054,12.48223591,8585
AZ,2012,Greenlee,GreenleeAZ2012,1054,12.48223591,8764
AZ,2013,Greenlee,GreenleeAZ2013,1054,12.48223591,8916
AZ,2014,Greenlee,GreenleeAZ2014,1054,12.48223591,9349
AZ,2015,Greenlee,GreenleeAZ2015,1054,12.48223591,9577
AZ,2016,Greenlee,GreenleeAZ2016,1054,12.48223591,9643
AZ,2017,Greenlee,GreenleeAZ2017,1054,12.48223591,9443
AZ,2018,Greenlee,GreenleeAZ2018,1054,12.48223591,9448
AZ,2019,Greenlee,GreenleeAZ2019,1054,12.48223591,9498
AZ,2010,Yavapai,YavapaiAZ2010,24082,11.41235066,210983
AZ,2011,Yavapai,YavapaiAZ2011,24082,11.41235066,211044
AZ,2012,Yavapai,YavapaiAZ2012,24082,11.41235066,211990
AZ,2013,Yavapai,YavapaiAZ2013,24082,11.41235066,214421
AZ,2014,Yavapai,YavapaiAZ2014,24082,11.41235066,217716
AZ,2015,Yavapai,YavapaiAZ2015,24082,11.41235066,220805
AZ,2016,Yavapai,YavapaiAZ2016,24082,11.41235066,224575
AZ,2017,Yavapai,YavapaiAZ2017,24082,11.41235066,228082
AZ,2018,Yavapai,YavapaiAZ2018,24082,11.41235066,231772
AZ,2019,Yavapai,YavapaiAZ2019,24082,11.41235066,235099
AZ,2010,Yuma,YumaAZ2010,18037,9.214303959,197127
AZ,2011,Yuma,YumaAZ2011,18037,9.214303959,202841
AZ,2012,Yuma,YumaAZ2012,18037,9.214303959,202475
AZ,2013,Yuma,YumaAZ2013,18037,9.214303959,202420
AZ,2014,Yuma,YumaAZ2014,18037,9.214303959,204054
AZ,2015,Yuma,YumaAZ2015,18037,9.214303959,205186
AZ,2016,Yuma,YumaAZ2016,18037,9.214303959,207247
AZ,2017,Yuma,YumaAZ2017,18037,9.214303959,209507
AZ,2018,Yuma,YumaAZ2018,18037,9.214303959,211612
AZ,2019,Yuma,YumaAZ2019,18037,9.214303959,213787
AR,2010,Benton,BentonAR2010,57793,26.10956503,222593
AR,2011,Benton,BentonAR2011,57793,26.10956503,229171
AR,2012,Benton,BentonAR2012,57793,26.10956503,234938
AR,2013,Benton,BentonAR2013,57793,26.10956503,239461
AR,2014,Benton,BentonAR2014,57793,26.10956503,244841
AR,2015,Benton,BentonAR2015,57793,26.10956503,251591
AR,2016,Benton,BentonAR2016,57793,26.10956503,259212
AR,2017,Benton,BentonAR2017,57793,26.10956503,266585
AR,2018,Benton,BentonAR2018,57793,26.10956503,272266
AR,2019,Benton,BentonAR2019,57793,26.10956503,279141
AR,2010,Washington,WashingtonAR2010,36137,17.79709431,204024
AR,2011,Washington,WashingtonAR2011,36137,17.79709431,208051
AR,2012,Washington,WashingtonAR2012,36137,17.79709431,211756
AR,2013,Washington,WashingtonAR2013,36137,17.79709431,216000
AR,2014,Washington,WashingtonAR2014,36137,17.79709431,219941
AR,2015,Washington,WashingtonAR2015,36137,17.79709431,224434
AR,2016,Washington,WashingtonAR2016,36137,17.79709431,228482
AR,2017,Washington,WashingtonAR2017,36137,17.79709431,232732
AR,2018,Washington,WashingtonAR2018,36137,17.79709431,236611
AR,2019,Washington,WashingtonAR2019,36137,17.79709431,239187
AR,2010,Craighead,CraigheadAR2010,13889,14.40125255,96748
AR,2011,Craighead,CraigheadAR2011,13889,14.40125255,98405
AR,2012,Craighead,CraigheadAR2012,13889,14.40125255,99993
AR,2013,Craighead,CraigheadAR2013,13889,14.40125255,101653
AR,2014,Craighead,CraigheadAR2014,13889,14.40125255,102661
AR,2015,Craighead,CraigheadAR2015,13889,14.40125255,104457
AR,2016,Craighead,CraigheadAR2016,13889,14.40125255,105932
AR,2017,Craighead,CraigheadAR2017,13889,14.40125255,107188
AR,2018,Craighead,CraigheadAR2018,13889,14.40125255,108816
AR,2019,Craighead,CraigheadAR2019,13889,14.40125255,110332
AR,2010,Saline,SalineAR2010,15302,14.28291408,107656
AR,2011,Saline,SalineAR2011,15302,14.28291408,109553
AR,2012,Saline,SalineAR2012,15302,14.28291408,111442
AR,2013,Saline,SalineAR2013,15302,14.28291408,113348
AR,2014,Saline,SalineAR2014,15302,14.28291408,114874
AR,2015,Saline,SalineAR2015,15302,14.28291408,116390
AR,2016,Saline,SalineAR2016,15302,14.28291408,117656
AR,2017,Saline,SalineAR2017,15302,14.28291408,119520
AR,2018,Saline,SalineAR2018,15302,14.28291408,121074
AR,2019,Saline,SalineAR2019,15302,14.28291408,122437
AR,2010,Faulkner,FaulknerAR2010,12769,11.27625002,114026
AR,2011,Faulkner,FaulknerAR2011,12769,11.27625002,116280
AR,2012,Faulkner,FaulknerAR2012,12769,11.27625002,118523
AR,2013,Faulkner,FaulknerAR2013,12769,11.27625002,119176
AR,2014,Faulkner,FaulknerAR2014,12769,11.27625002,120562
AR,2015,Faulkner,FaulknerAR2015,12769,11.27625002,121241
AR,2016,Faulkner,FaulknerAR2016,12769,11.27625002,122206
AR,2017,Faulkner,FaulknerAR2017,12769,11.27625002,123530
AR,2018,Faulkner,FaulknerAR2018,12769,11.27625002,125138
AR,2019,Faulkner,FaulknerAR2019,12769,11.27625002,126007
CA,2010,Placer,PlacerCA2010,49827,14.29747892,350021
CA,2011,Placer,PlacerCA2011,49827,14.29747892,356328
CA,2012,Placer,PlacerCA2012,49827,14.29747892,360263
CA,2013,Placer,PlacerCA2013,49827,14.29747892,365398
CA,2014,Placer,PlacerCA2014,49827,14.29747892,369217
CA,2015,Placer,PlacerCA2015,49827,14.29747892,372841
CA,2016,Placer,PlacerCA2016,49827,14.29747892,378943
CA,2017,Placer,PlacerCA2017,49827,14.29747892,385115
CA,2018,Placer,PlacerCA2018,49827,14.29747892,392330
CA,2019,Placer,PlacerCA2019,49827,14.29747892,398329
CA,2010,SanBenito,SanBenitoCA2010,7543,13.64878314,55516
CA,2011,SanBenito,SanBenitoCA2011,7543,13.64878314,55977
CA,2012,SanBenito,SanBenitoCA2012,7543,13.64878314,56599
CA,2013,SanBenito,SanBenitoCA2013,7543,13.64878314,57239
CA,2014,SanBenito,SanBenitoCA2014,7543,13.64878314,57825
CA,2015,SanBenito,SanBenitoCA2015,7543,13.64878314,58216
CA,2016,SanBenito,SanBenitoCA2016,7543,13.64878314,59225
CA,2017,SanBenito,SanBenitoCA2017,7543,13.64878314,60164
CA,2018,SanBenito,SanBenitoCA2018,7543,13.64878314,61467
CA,2019,SanBenito,SanBenitoCA2019,7543,13.64878314,62808
CA,2010,Riverside,RiversideCA2010,280781,12.82242615,2201576
CA,2011,Riverside,RiversideCA2011,280781,12.82242615,2234070
CA,2012,Riverside,RiversideCA2012,280781,12.82242615,2261204
CA,2013,Riverside,RiversideCA2013,280781,12.82242615,2286755
CA,2014,Riverside,RiversideCA2014,280781,12.82242615,2316162
CA,2015,Riverside,RiversideCA2015,280781,12.82242615,2345816
CA,2016,Riverside,RiversideCA2016,280781,12.82242615,2380081
CA,2017,Riverside,RiversideCA2017,280781,12.82242615,2414964
CA,2018,Riverside,RiversideCA2018,280781,12.82242615,2445789
CA,2019,Riverside,RiversideCA2019,280781,12.82242615,2470546
CA,2010,SanJoaquin,SanJoaquinCA2010,76842,11.21280129,687127
CA,2011,SanJoaquin,SanJoaquinCA2011,76842,11.21280129,694354
CA,2012,SanJoaquin,SanJoaquinCA2012,76842,11.21280129,699593
CA,2013,SanJoaquin,SanJoaquinCA2013,76842,11.21280129,702046
CA,2014,SanJoaquin,SanJoaquinCA2014,76842,11.21280129,711579
CA,2015,SanJoaquin,SanJoaquinCA2015,76842,11.21280129,722271
CA,2016,SanJoaquin,SanJoaquinCA2016,76842,11.21280129,732809
CA,2017,SanJoaquin,SanJoaquinCA2017,76842,11.21280129,743296
CA,2018,SanJoaquin,SanJoaquinCA2018,76842,11.21280129,752491
CA,2019,SanJoaquin,SanJoaquinCA2019,76842,11.21280129,762148
CA,2010,Alameda,AlamedaCA2010,161071,10.66513139,1512986
CA,2011,Alameda,AlamedaCA2011,161071,10.66513139,1530915
CA,2012,Alameda,AlamedaCA2012,161071,10.66513139,1553764
CA,2013,Alameda,AlamedaCA2013,161071,10.66513139,1579593
CA,2014,Alameda,AlamedaCA2014,161071,10.66513139,1607792
CA,2015,Alameda,AlamedaCA2015,161071,10.66513139,1634538
CA,2016,Alameda,AlamedaCA2016,161071,10.66513139,1650950
CA,2017,Alameda,AlamedaCA2017,161071,10.66513139,1660196
CA,2018,Alameda,AlamedaCA2018,161071,10.66513139,1666756
CA,2019,Alameda,AlamedaCA2019,161071,10.66513139,1671329
CA,2010,ContraCosta ,ContraCosta CA2010,104322,9.942966287,1052540
CA,2011,ContraCosta ,ContraCosta CA2011,104322,9.942966287,1065440
CA,2012,ContraCosta ,ContraCosta CA2012,104322,9.942966287,1077548
CA,2013,ContraCosta ,ContraCosta CA2013,104322,9.942966287,1093401
CA,2014,ContraCosta ,ContraCosta CA2014,104322,9.942966287,1108876
CA,2015,ContraCosta ,ContraCosta CA2015,104322,9.942966287,1124405
CA,2016,ContraCosta ,ContraCosta CA2016,104322,9.942966287,1137268
CA,2017,ContraCosta ,ContraCosta CA2017,104322,9.942966287,1145535
CA,2018,ContraCosta ,ContraCosta CA2018,104322,9.942966287,1150519
CA,2019,ContraCosta ,ContraCosta CA2019,104322,9.942966287,1153526
CA,2010,Yolo,YoloCA2010,19645,9.780687561,201073
CA,2011,Yolo,YoloCA2011,19645,9.780687561,201954
CA,2012,Yolo,YoloCA2012,19645,9.780687561,204576
CA,2013,Yolo,YoloCA2013,19645,9.780687561,206292
CA,2014,Yolo,YoloCA2014,19645,9.780687561,208398
CA,2015,Yolo,YoloCA2015,19645,9.780687561,212037
CA,2016,Yolo,YoloCA2016,19645,9.780687561,215627
CA,2017,Yolo,YoloCA2017,19645,9.780687561,218477
CA,2018,Yolo,YoloCA2018,19645,9.780687561,220118
CA,2019,Yolo,YoloCA2019,19645,9.780687561,220500
CA,2010,SanFrancisco,SanFranciscoCA2010,76365,9.484167594,805505
CA,2011,SanFrancisco,SanFranciscoCA2011,76365,9.484167594,815650
CA,2012,SanFrancisco,SanFranciscoCA2012,76365,9.484167594,828876
CA,2013,SanFrancisco,SanFranciscoCA2013,76365,9.484167594,839572
CA,2014,SanFrancisco,SanFranciscoCA2014,76365,9.484167594,850750
CA,2015,SanFrancisco,SanFranciscoCA2015,76365,9.484167594,863010
CA,2016,SanFrancisco,SanFranciscoCA2016,76365,9.484167594,871512
CA,2017,SanFrancisco,SanFranciscoCA2017,76365,9.484167594,878040
CA,2018,SanFrancisco,SanFranciscoCA2018,76365,9.484167594,880696
CA,2019,SanFrancisco,SanFranciscoCA2019,76365,9.484167594,881549
CO,2010,Weld,WeldCO2010,71665,28.34546943,254207
CO,2011,Weld,WeldCO2011,71665,28.34546943,258827
CO,2012,Weld,WeldCO2012,71665,28.34546943,264131
CO,2013,Weld,WeldCO2013,71665,28.34546943,270165
CO,2014,Weld,WeldCO2014,71665,28.34546943,277112
CO,2015,Weld,WeldCO2015,71665,28.34546943,285819
CO,2016,Weld,WeldCO2016,71665,28.34546943,295712
CO,2017,Weld,WeldCO2017,71665,28.34546943,305885
CO,2018,Weld,WeldCO2018,71665,28.34546943,314815
CO,2019,Weld,WeldCO2019,71665,28.34546943,324492
CO,2010,Broomfield,BroomfieldCO2010,14604,26.14346324,56226
CO,2011,Broomfield,BroomfieldCO2011,14604,26.14346324,57493
CO,2012,Broomfield,BroomfieldCO2012,14604,26.14346324,58971
CO,2013,Broomfield,BroomfieldCO2013,14604,26.14346324,60149
CO,2014,Broomfield,BroomfieldCO2014,14604,26.14346324,61764
CO,2015,Broomfield,BroomfieldCO2015,14604,26.14346324,64866
CO,2016,Broomfield,BroomfieldCO2016,14604,26.14346324,66513
CO,2017,Broomfield,BroomfieldCO2017,14604,26.14346324,68263
CO,2018,Broomfield,BroomfieldCO2018,14604,26.14346324,69324
CO,2019,Broomfield,BroomfieldCO2019,14604,26.14346324,70465
CO,2010,Douglas,DouglasCO2010,65689,23.0112273,286977
CO,2011,Douglas,DouglasCO2011,65689,23.0112273,292548
CO,2012,Douglas,DouglasCO2012,65689,23.0112273,298708
CO,2013,Douglas,DouglasCO2013,65689,23.0112273,306234
CO,2014,Douglas,DouglasCO2014,65689,23.0112273,314545
CO,2015,Douglas,DouglasCO2015,65689,23.0112273,322025
CO,2016,Douglas,DouglasCO2016,65689,23.0112273,328219
CO,2017,Douglas,DouglasCO2017,65689,23.0112273,335816
CO,2018,Douglas,DouglasCO2018,65689,23.0112273,342989
CO,2019,Douglas,DouglasCO2019,65689,23.0112273,351154
CO,2010,Denver,DenverCO2010,127386,21.23719418,603359
CO,2011,Denver,DenverCO2011,127386,21.23719418,620530
CO,2012,Denver,DenverCO2012,127386,21.23719418,635163
CO,2013,Denver,DenverCO2013,127386,21.23719418,649391
CO,2014,Denver,DenverCO2014,127386,21.23719418,664582
CO,2015,Denver,DenverCO2015,127386,21.23719418,683285
CO,2016,Denver,DenverCO2016,127386,21.23719418,696159
CO,2017,Denver,DenverCO2017,127386,21.23719418,704961
CO,2018,Denver,DenverCO2018,127386,21.23719418,716265
CO,2019,Denver,DenverCO2019,127386,21.23719418,727211
CO,2010,Custer,CusterCO2010,817,19.21900729,4279
CO,2011,Custer,CusterCO2011,817,19.21900729,4225
CO,2012,Custer,CusterCO2012,817,19.21900729,4219
CO,2013,Custer,CusterCO2013,817,19.21900729,4261
CO,2014,Custer,CusterCO2014,817,19.21900729,4340
CO,2015,Custer,CusterCO2015,817,19.21900729,4434
CO,2016,Custer,CusterCO2016,817,19.21900729,4588
CO,2017,Custer,CusterCO2017,817,19.21900729,4857
CO,2018,Custer,CusterCO2018,817,19.21900729,4934
CO,2019,Custer,CusterCO2019,817,19.21900729,5068
CT,2010,Fairfield,FairfieldCT2010,26428,2.88230829,919355
CT,2011,Fairfield,FairfieldCT2011,26428,2.88230829,928000
CT,2012,Fairfield,FairfieldCT2012,26428,2.88230829,935099
CT,2013,Fairfield,FairfieldCT2013,26428,2.88230829,939924
CT,2014,Fairfield,FairfieldCT2014,26428,2.88230829,944196
CT,2015,Fairfield,FairfieldCT2015,26428,2.88230829,944943
CT,2016,Fairfield,FairfieldCT2016,26428,2.88230829,944347
CT,2017,Fairfield,FairfieldCT2017,26428,2.88230829,943038
CT,2018,Fairfield,FairfieldCT2018,26428,2.88230829,943971
CT,2019,Fairfield,FairfieldCT2019,26428,2.88230829,943332
CT,2010,Hartford,HartfordCT2010,-2332,-0.26083494,895236
CT,2011,Hartford,HartfordCT2011,-2332,-0.26083494,896864
CT,2012,Hartford,HartfordCT2012,-2332,-0.26083494,897706
CT,2013,Hartford,HartfordCT2013,-2332,-0.26083494,897678
CT,2014,Hartford,HartfordCT2014,-2332,-0.26083494,897407
CT,2015,Hartford,HartfordCT2015,-2332,-0.26083494,896290
CT,2016,Hartford,HartfordCT2016,-2332,-0.26083494,894141
CT,2017,Hartford,HartfordCT2017,-2332,-0.26083494,893076
CT,2018,Hartford,HartfordCT2018,-2332,-0.26083494,892580
CT,2019,Hartford,HartfordCT2019,-2332,-0.26083494,891720
CT,2010,NewHaven,NewHavenCT2010,-7685,-0.891074414,863357
CT,2011,NewHaven,NewHavenCT2011,-7685,-0.891074414,863871
CT,2012,NewHaven,NewHavenCT2012,-7685,-0.891074414,864566
CT,2013,NewHaven,NewHavenCT2013,-7685,-0.891074414,862820
CT,2014,NewHaven,NewHavenCT2014,-7685,-0.891074414,862885
CT,2015,NewHaven,NewHavenCT2015,-7685,-0.891074414,860186
CT,2016,NewHaven,NewHavenCT2016,-7685,-0.891074414,857901
CT,2017,NewHaven,NewHavenCT2017,-7685,-0.891074414,857748
CT,2018,NewHaven,NewHavenCT2018,-7685,-0.891074414,856971
CT,2019,NewHaven,NewHavenCT2019,-7685,-0.891074414,854757
CT,2010,Tolland,TollandCT2010,-2026,-1.326376295,153239
CT,2011,Tolland,TollandCT2011,-2026,-1.326376295,153050
CT,2012,Tolland,TollandCT2012,-2026,-1.326376295,151967
CT,2013,Tolland,TollandCT2013,-2026,-1.326376295,151778
CT,2014,Tolland,TollandCT2014,-2026,-1.326376295,151693
CT,2015,Tolland,TollandCT2015,-2026,-1.326376295,151734
CT,2016,Tolland,TollandCT2016,-2026,-1.326376295,151162
CT,2017,Tolland,TollandCT2017,-2026,-1.326376295,151009
CT,2018,Tolland,TollandCT2018,-2026,-1.326376295,150689
CT,2019,Tolland,TollandCT2019,-2026,-1.326376295,150721
CT,2010,Windham,WindhamCT2010,-1598,-1.349890184,118544
CT,2011,Windham,WindhamCT2011,-1598,-1.349890184,118315
CT,2012,Windham,WindhamCT2012,-1598,-1.349890184,117914
CT,2013,Windham,WindhamCT2013,-1598,-1.349890184,117500
CT,2014,Windham,WindhamCT2014,-1598,-1.349890184,116752
CT,2015,Windham,WindhamCT2015,-1598,-1.349890184,116487
CT,2016,Windham,WindhamCT2016,-1598,-1.349890184,116102
CT,2017,Windham,WindhamCT2017,-1598,-1.349890184,116398
CT,2018,Windham,WindhamCT2018,-1598,-1.349890184,117059
CT,2019,Windham,WindhamCT2019,-1598,-1.349890184,116782
DE,2010,Sussex,SussexDE2010,37122,18.8338077,197885
DE,2011,Sussex,SussexDE2011,37122,18.8338077,200362
DE,2012,Sussex,SussexDE2012,37122,18.8338077,203034
DE,2013,Sussex,SussexDE2013,37122,18.8338077,206207
DE,2014,Sussex,SussexDE2014,37122,18.8338077,210263
DE,2015,Sussex,SussexDE2015,37122,18.8338077,214636
DE,2016,Sussex,SussexDE2016,37122,18.8338077,219321
DE,2017,Sussex,SussexDE2017,37122,18.8338077,224348
DE,2018,Sussex,SussexDE2018,37122,18.8338077,229389
DE,2019,Sussex,SussexDE2019,37122,18.8338077,234225
DE,2010,Kent,KentDE2010,18436,11.35571297,162956
DE,2011,Kent,KentDE2011,18436,11.35571297,165110
DE,2012,Kent,KentDE2012,18436,11.35571297,167297
DE,2013,Kent,KentDE2013,18436,11.35571297,169038
DE,2014,Kent,KentDE2014,18436,11.35571297,171456
DE,2015,Kent,KentDE2015,18436,11.35571297,173128
DE,2016,Kent,KentDE2016,18436,11.35571297,174542
DE,2017,Kent,KentDE2017,18436,11.35571297,176499
DE,2018,Kent,KentDE2018,18436,11.35571297,178540
DE,2019,Kent,KentDE2019,18436,11.35571297,180786
DE,2010,NewCastle,NewCastleDE2010,20269,3.764085841,538752
DE,2011,NewCastle,NewCastleDE2011,20269,3.764085841,541909
DE,2012,NewCastle,NewCastleDE2012,20269,3.764085841,544848
DE,2013,NewCastle,NewCastleDE2013,20269,3.764085841,548331
DE,2014,NewCastle,NewCastleDE2014,20269,3.764085841,550768
DE,2015,NewCastle,NewCastleDE2015,20269,3.764085841,553488
DE,2016,NewCastle,NewCastleDE2016,20269,3.764085841,555058
DE,2017,NewCastle,NewCastleDE2017,20269,3.764085841,555976
DE,2018,NewCastle,NewCastleDE2018,20269,3.764085841,557550
DE,2019,NewCastle,NewCastleDE2019,20269,3.764085841,558753
DC,2010,DictrictofColumbia,DictrictofColumbiaDC2010,103982,17.27944537,605226
DC,2011,DictrictofColumbia,DictrictofColumbiaDC2011,103982,17.27944537,619800
DC,2012,DictrictofColumbia,DictrictofColumbiaDC2012,103982,17.27944537,634924
DC,2013,DictrictofColumbia,DictrictofColumbiaDC2013,103982,17.27944537,650581
DC,2014,DictrictofColumbia,DictrictofColumbiaDC2014,103982,17.27944537,662328
DC,2015,DictrictofColumbia,DictrictofColumbiaDC2015,103982,17.27944537,675400
