Year,CountyID,State,County,Building Permits
2011,Kings2011,NY,Kings,1522
2012,Kings2012,NY,Kings,3353
2013,Kings2013,NY,Kings,6140
2014,Kings2014,NY,Kings,7551
2015,Kings2015,NY,Kings,26026
2016,Kings2016,NY,Kings,4503
2017,Kings2017,NY,Kings,6130
2018,Kings2018,NY,Kings,8445
2019,Kings2019,NY,Kings,9696
1990,NewYork1990,NY,NewYork,2398
1991,NewYork1991,NY,NewYork,756
1992,NewYork1992,NY,NewYork,373
1993,NewYork1993,NY,NewYork,1148
1994,NewYork1994,NY,NewYork,428
1995,NewYork1995,NY,NewYork,1129
1996,NewYork1996,NY,NewYork,3369
1997,NewYork1997,NY,NewYork,3762
1998,NewYork1998,NY,NewYork,3823
1999,NewYork1999,NY,NewYork,3791
2000,NewYork2000,NY,NewYork,5110
2001,NewYork2001,NY,NewYork,6109
2002,NewYork2002,NY,NewYork,5407
2003,NewYork2003,NY,NewYork,5232
2004,NewYork2004,NY,NewYork,4555
2005,NewYork2005,NY,NewYork,8493
2006,NewYork2006,NY,NewYork,8790
2007,NewYork2007,NY,NewYork,9520
2008,NewYork2008,NY,NewYork,9700
2009,NewYork2009,NY,NewYork,1363
2010,NewYork2010,NY,NewYork,704
2011,NewYork2011,NY,NewYork,2535
2012,NewYork2012,NY,NewYork,2328
2013,NewYork2013,NY,NewYork,4856
2014,NewYork2014,NY,NewYork,5380
2015,NewYork2015,NY,NewYork,12267
2016,NewYork2016,NY,NewYork,4024
2017,NewYork2017,NY,NewYork,4781
2018,NewYork2018,NY,NewYork,3584
2019,NewYork2019,NY,NewYork,5512
1990,Clackamas1990,OR,Clackamas,3386
1991,Clackamas1991,OR,Clackamas,2287
1992,Clackamas1992,OR,Clackamas,1797
1993,Clackamas1993,OR,Clackamas,2320
1994,Clackamas1994,OR,Clackamas,3016
1995,Clackamas1995,OR,Clackamas,2970
1996,Clackamas1996,OR,Clackamas,2972
1997,Clackamas1997,OR,Clackamas,2964
1998,Clackamas1998,OR,Clackamas,2497
1999,Clackamas1999,OR,Clackamas,2761
2000,Clackamas2000,OR,Clackamas,2311
2001,Clackamas2001,OR,Clackamas,2085
2002,Clackamas2002,OR,Clackamas,1813
2003,Clackamas2003,OR,Clackamas,1722
2004,Clackamas2004,OR,Clackamas,2200
2005,Clackamas2005,OR,Clackamas,2680
2006,Clackamas2006,OR,Clackamas,2782
2007,Clackamas2007,OR,Clackamas,2050
2008,Clackamas2008,OR,Clackamas,865
2009,Clackamas2009,OR,Clackamas,715
2010,Clackamas2010,OR,Clackamas,665
2011,Clackamas2011,OR,Clackamas,1172
2012,Clackamas2012,OR,Clackamas,1581
2013,Clackamas2013,OR,Clackamas,1503
2014,Clackamas2014,OR,Clackamas,1480
2015,Clackamas2015,OR,Clackamas,1831
2016,Clackamas2016,OR,Clackamas,2450
2017,Clackamas2017,OR,Clackamas,1702
2018,Clackamas2018,OR,Clackamas,1754
2019,Clackamas2019,OR,Clackamas,1784
1990,Multnomah1990,OR,Multnomah,2620
1991,Multnomah1991,OR,Multnomah,2179
1992,Multnomah1992,OR,Multnomah,2225
1993,Multnomah1993,OR,Multnomah,2300
1994,Multnomah1994,OR,Multnomah,2725
1995,Multnomah1995,OR,Multnomah,2946
1996,Multnomah1996,OR,Multnomah,4191
1997,Multnomah1997,OR,Multnomah,4405
1998,Multnomah1998,OR,Multnomah,4312
1999,Multnomah1999,OR,Multnomah,3641
2000,Multnomah2000,OR,Multnomah,2591
2001,Multnomah2001,OR,Multnomah,2896
2002,Multnomah2002,OR,Multnomah,3282
2003,Multnomah2003,OR,Multnomah,4871
2004,Multnomah2004,OR,Multnomah,3842
2005,Multnomah2005,OR,Multnomah,4573
2006,Multnomah2006,OR,Multnomah,4187
2007,Multnomah2007,OR,Multnomah,4733
2008,Multnomah2008,OR,Multnomah,3043
2009,Multnomah2009,OR,Multnomah,1040
2010,Multnomah2010,OR,Multnomah,1235
2011,Multnomah2011,OR,Multnomah,1417
2012,Multnomah2012,OR,Multnomah,2377
2013,Multnomah2013,OR,Multnomah,3855
2014,Multnomah2014,OR,Multnomah,5090
2015,Multnomah2015,OR,Multnomah,4832
2016,Multnomah2016,OR,Multnomah,5092
2017,Multnomah2017,OR,Multnomah,7055
2018,Multnomah2018,OR,Multnomah,6238
2019,Multnomah2019,OR,Multnomah,6098
1990,Washington1990,OR,Washington,5678
1991,Washington1991,OR,Washington,2613
1992,Washington1992,OR,Washington,2984
1993,Washington1993,OR,Washington,3973
1994,Washington1994,OR,Washington,5218
1995,Washington1995,OR,Washington,7106
1996,Washington1996,OR,Washington,6874
1997,Washington1997,OR,Washington,6248
1998,Washington1998,OR,Washington,5735
1999,Washington1999,OR,Washington,3879
2000,Washington2000,OR,Washington,3827
2001,Washington2001,OR,Washington,4075
2002,Washington2002,OR,Washington,4255
2003,Washington2003,OR,Washington,4196
2004,Washington2004,OR,Washington,4769
2005,Washington2005,OR,Washington,4673
2006,Washington2006,OR,Washington,4281
2007,Washington2007,OR,Washington,2864
2008,Washington2008,OR,Washington,1738
2009,Washington2009,OR,Washington,1203
2010,Washington2010,OR,Washington,1271
2011,Washington2011,OR,Washington,1409
2012,Washington2012,OR,Washington,2056
2013,Washington2013,OR,Washington,3051
2014,Washington2014,OR,Washington,3030
2015,Washington2015,OR,Washington,3338
2016,Washington2016,OR,Washington,3327
2017,Washington2017,OR,Washington,2864
2018,Washington2018,OR,Washington,1889
2019,Washington2019,OR,Washington,3396
1990,Philadelphia1990,PA,Philadelphia,747
1991,Philadelphia1991,PA,Philadelphia,366
1992,Philadelphia1992,PA,Philadelphia,250
1993,Philadelphia1993,PA,Philadelphia,426
1994,Philadelphia1994,PA,Philadelphia,435
1995,Philadelphia1995,PA,Philadelphia,487
1996,Philadelphia1996,PA,Philadelphia,674
1997,Philadelphia1997,PA,Philadelphia,863
1998,Philadelphia1998,PA,Philadelphia,457
1999,Philadelphia1999,PA,Philadelphia,367
2000,Philadelphia2000,PA,Philadelphia,1333
2001,Philadelphia2001,PA,Philadelphia,772
2002,Philadelphia2002,PA,Philadelphia,554
2003,Philadelphia2003,PA,Philadelphia,1754
2004,Philadelphia2004,PA,Philadelphia,2864
2005,Philadelphia2005,PA,Philadelphia,2506
2006,Philadelphia2006,PA,Philadelphia,2164
2007,Philadelphia2007,PA,Philadelphia,1972
2008,Philadelphia2008,PA,Philadelphia,1701
2009,Philadelphia2009,PA,Philadelphia,947
2010,Philadelphia2010,PA,Philadelphia,984
2011,Philadelphia2011,PA,Philadelphia,1552
2012,Philadelphia2012,PA,Philadelphia,2175
2013,Philadelphia2013,PA,Philadelphia,2815
2014,Philadelphia2014,PA,Philadelphia,3973
2015,Philadelphia2015,PA,Philadelphia,3666
2016,Philadelphia2016,PA,Philadelphia,3175
2017,Philadelphia2017,PA,Philadelphia,3389
2018,Philadelphia2018,PA,Philadelphia,3239
2019,Philadelphia2019,PA,Philadelphia,4566
1990,Clark1990,WA,Clark,3851
1991,Clark1991,WA,Clark,2736
1992,Clark1992,WA,Clark,3961
1993,Clark1993,WA,Clark,4217
1994,Clark1994,WA,Clark,5113
1995,Clark1995,WA,Clark,3915
1996,Clark1996,WA,Clark,2957
1997,Clark1997,WA,Clark,4895
1998,Clark1998,WA,Clark,4352
1999,Clark1999,WA,Clark,3734
2000,Clark2000,WA,Clark,3205
2001,Clark2001,WA,Clark,3874
2002,Clark2002,WA,Clark,3764
2003,Clark2003,WA,Clark,4067
2004,Clark2004,WA,Clark,3855
2005,Clark2005,WA,Clark,3771
2006,Clark2006,WA,Clark,2979
2007,Clark2007,WA,Clark,2350
2008,Clark2008,WA,Clark,1241
2009,Clark2009,WA,Clark,709
2010,Clark2010,WA,Clark,1070
2011,Clark2011,WA,Clark,961
2012,Clark2012,WA,Clark,1558
2013,Clark2013,WA,Clark,2942
2014,Clark2014,WA,Clark,2240
2015,Clark2015,WA,Clark,3472
2016,Clark2016,WA,Clark,3310
2017,Clark2017,WA,Clark,3787
2018,Clark2018,WA,Clark,3598
2019,Clark2019,WA,Clark,4722
