NAME,LSAD,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
"Fort Collins, CO",Metropolitan Statistical Area,300441,305246,310842,316225,324008,333303,338984,344084,350660,356899
"Larimer County, CO",County or equivalent,300441,305246,310842,316225,324008,333303,338984,344084,350660,356899
"Fort Smith, AR-OK",Metropolitan Statistical Area,248344,249236,249491,248569,248220,248820,249170,250231,250298,250368
"Crawford County, AR",County or equivalent,61956,61796,61911,61667,61807,61904,62263,62894,63379,63257
"Franklin County, AR",County or equivalent,18142,18009,17959,17915,17828,17749,17655,17809,17764,17715
"Sebastian County, AR",County or equivalent,125737,127010,127571,127173,126733,127385,127385,127786,127570,127827
"Sequoyah County, OK",County or equivalent,42509,42421,42050,41814,41852,41782,41867,41742,41585,41569
"Fort Wayne, IN",Metropolitan Statistical Area,389298,392332,394225,396638,398591,400806,402887,405445,409126,413263
"Allen County, IN",County or equivalent,355945,358974,360890,363355,365147,367362,369412,371723,375079,379299
"Whitley County, IN",County or equivalent,33353,33358,33335,33283,33444,33444,33475,33722,34047,33964
"Fresno, CA",Metropolitan Statistical Area,932039,939406,945045,951514,960567,969488,976830,985238,991950,999101
"Fresno County, CA",County or equivalent,932039,939406,945045,951514,960567,969488,976830,985238,991950,999101
"Gadsden, AL",Metropolitan Statistical Area,104459,104369,104278,103884,103399,102998,102855,103007,102611,102268
"Etowah County, AL",County or equivalent,104459,104369,104278,103884,103399,102998,102855,103007,102611,102268
"Gainesville, FL",Metropolitan Statistical Area,305334,306979,308240,308865,311743,316031,321418,324485,327933,329128
"Alachua County, FL",County or equivalent,247614,249834,251520,252475,255456,259052,263959,266309,268851,269043
"Gilchrist County, FL",County or equivalent,17000,16994,16897,16957,16991,17378,17622,17900,18284,18582
"Levy County, FL",County or equivalent,40720,40151,39823,39433,39296,39601,39837,40276,40798,41503
"Gainesville, GA",Metropolitan Statistical Area,180033,182269,184102,186431,189142,192245,196159,198953,201538,204441
"Hall County, GA",County or equivalent,180033,182269,184102,186431,189142,192245,196159,198953,201538,204441
"Gettysburg, PA",Metropolitan Statistical Area,101479,101474,101254,101137,101353,101808,101911,102562,103062,103009
"Adams County, PA",County or equivalent,101479,101474,101254,101137,101353,101808,101911,102562,103062,103009
"Glens Falls, NY",Metropolitan Statistical Area,129021,128827,128420,127848,127341,126666,126233,125924,125489,125148
"Warren County, NY",County or equivalent,65665,65736,65417,65083,64866,64420,64438,64365,64215,63944
"Washington County, NY",County or equivalent,63356,63091,63003,62765,62475,62246,61795,61559,61274,61204
"Goldsboro, NC",Metropolitan Statistical Area,122886,124038,124559,124587,124586,124342,124269,123034,123237,123131
"Wayne County, NC",County or equivalent,122886,124038,124559,124587,124586,124342,124269,123034,123237,123131
"Grand Forks, ND-MN",Metropolitan Statistical Area,98633,98194,99093,100741,101260,101849,102171,102126,101766,100815
"Polk County, MN",County or equivalent,31639,31540,31511,31639,31496,31497,31698,31637,31411,31364
"Grand Forks County, ND",County or equivalent,66994,66654,67582,69102,69764,70352,70473,70489,70355,69451
"Grand Island, NE",Metropolitan Statistical Area,72936,73547,74238,74652,75240,75319,75598,75456,75476,75553
"Hall County, NE",County or equivalent,58805,59492,60095,60485,61099,61132,61353,61201,61286,61353
"Howard County, NE",County or equivalent,6279,6295,6298,6337,6353,6382,6407,6396,6457,6445
"Merrick County, NE",County or equivalent,7852,7760,7845,7830,7788,7805,7838,7859,7733,7755
"Grand Junction, CO",Metropolitan Statistical Area,146259,147174,147317,147175,147113,148025,149736,151170,152951,154210
"Mesa County, CO",County or equivalent,146259,147174,147317,147175,147113,148025,149736,151170,152951,154210
"Grand Rapids-Kentwood, MI",Metropolitan Statistical Area,994262,1002556,1013655,1025473,1036234,1044842,1054710,1063670,1071370,1077370
"Ionia County, MI",County or equivalent,63842,63860,63888,63991,64232,64056,64187,64284,64276,64697
"Kent County, MI",County or equivalent,602975,608501,615798,624303,631334,637164,643858,649278,653350,656955
"Montcalm County, MI",County or equivalent,63315,63266,63096,62794,62804,62763,62953,63527,63936,63888
"Ottawa County, MI",County or equivalent,264130,266929,270873,274385,277864,280859,283712,286581,289808,291830
"Grants Pass, OR",Metropolitan Statistical Area,82879,82702,82755,83131,83377,84528,85504,86584,87150,87487
"Josephine County, OR",County or equivalent,82879,82702,82755,83131,83377,84528,85504,86584,87150,87487
"Great Falls, MT",Metropolitan Statistical Area,81507,81714,81622,82194,82056,81878,81562,81633,81688,81366
"Cascade County, MT",County or equivalent,81507,81714,81622,82194,82056,81878,81562,81633,81688,81366
"Greeley, CO",Metropolitan Statistical Area,254207,258827,264131,270165,277112,285819,295712,305885,314815,324492
"Weld County, CO",County or equivalent,254207,258827,264131,270165,277112,285819,295712,305885,314815,324492
"Green Bay, WI",Metropolitan Statistical Area,306754,308613,310605,311947,314003,315652,317369,319694,321384,322906
"Brown County, WI",County or equivalent,248476,250481,252682,254211,256202,257856,259514,261762,263165,264542
"Kewaunee County, WI",County or equivalent,20561,20558,20505,20370,20341,20324,20380,20401,20395,20434
"Oconto County, WI",County or equivalent,37717,37574,37418,37366,37460,37472,37475,37531,37824,37930
"Greensboro-High Point, NC",Metropolitan Statistical Area,725264,730095,735475,740604,746497,751285,758635,762071,766473,771851
"Guilford County, NC",County or equivalent,489618,494953,500514,506400,512233,517053,524265,528243,532607,537174
"Randolph County, NC",County or equivalent,141985,141858,142270,142308,142474,142575,143062,143037,143249,143667
"Rockingham County, NC",County or equivalent,93661,93284,92691,91896,91790,91657,91308,90791,90617,91010
"Greenville, NC",Metropolitan Statistical Area,168863,170791,172980,174380,174974,176071,177171,178607,179575,180742
"Pitt County, NC",County or equivalent,168863,170791,172980,174380,174974,176071,177171,178607,179575,180742
"Greenville-Anderson, SC",Metropolitan Statistical Area,825625,833220,840903,848417,860285,872521,884327,895357,907028,920477
"Anderson County, SC",County or equivalent,187086,188160,188820,190005,191793,193700,195582,198186,200292,202558
"Greenville County, SC",County or equivalent,452697,458916,466062,473014,481485,490900,499122,506831,514621,523542
"Laurens County, SC",County or equivalent,66505,66446,66214,66149,66464,66421,66603,66822,66890,67493
"Pickens County, SC",County or equivalent,119337,119698,119807,119249,120543,121500,123020,123518,125225,126884
"Gulfport-Biloxi, MS",Metropolitan Statistical Area,389324,393744,396803,399940,403841,406604,408865,412754,414686,417665
"Hancock County, MS",County or equivalent,44089,44744,45263,45522,45980,46305,46643,46949,47278,47632
"Harrison County, MS",County or equivalent,187859,191070,193540,196134,198340,200674,202504,204966,206284,208080
"Jackson County, MS",County or equivalent,139469,140029,139949,140324,141432,141354,141535,142246,143127,143617
"Stone County, MS",County or equivalent,17907,17901,18051,17960,18089,18271,18183,18593,17997,18336
"Hagerstown-Martinsburg, MD-WV",Metropolitan Statistical Area,269833,271983,273429,274926,276755,278236,280717,282958,285722,288104
"Washington County, MD",County or equivalent,147721,148776,149037,148986,149048,149068,149602,150169,150656,151049
"Berkeley County, WV",County or equivalent,104621,105743,106965,108495,110191,111678,113489,115073,117236,119171
"Morgan County, WV",County or equivalent,17491,17464,17427,17445,17516,17490,17626,17716,17830,17884
"Hammond, LA",Metropolitan Statistical Area,121485,122700,123646,125520,127010,128716,130619,132353,133837,134758
"Tangipahoa Parish, LA",County or equivalent,121485,122700,123646,125520,127010,128716,130619,132353,133837,134758
"Hanford-Corcoran, CA",Metropolitan Statistical Area,152370,151868,150991,150337,149495,150085,149382,149665,151382,152940
"Kings County, CA",County or equivalent,152370,151868,150991,150337,149495,150085,149382,149665,151382,152940
"Harrisburg-Carlisle, PA",Metropolitan Statistical Area,550088,552280,555057,558139,561164,564678,567510,570784,574149,577941
"Cumberland County, PA",County or equivalent,235886,237107,239244,241059,243280,245744,247369,249024,251131,253370
"Dauphin County, PA",County or equivalent,268281,269249,270005,271431,272223,273085,274196,275714,276864,278299
"Perry County, PA",County or equivalent,45921,45924,45808,45649,45661,45849,45945,46046,46154,46272
"Harrisonburg, VA",Metropolitan Statistical Area,125401,126796,128449,128956,130420,131120,132909,134041,134749,134964
"Rockingham County, VA",County or equivalent,76408,76861,77137,77419,77878,78445,79367,80397,81261,81948
"Harrisonburg city, VA",County or equivalent,48993,49935,51312,51537,52542,52675,53542,53644,53488,53016
"Hartford-East Hartford-Middletown, CT",Metropolitan Statistical Area,1214091,1216088,1215307,1214785,1213886,1211748,1208595,1207027,1206139,1204877
"Hartford County, CT",County or equivalent,895236,896864,897706,897678,897407,896290,894141,893076,892580,891720
"Middlesex County, CT",County or equivalent,165616,166174,165634,165329,164786,163724,163292,162942,162870,162436
"Tolland County, CT",County or equivalent,153239,153050,151967,151778,151693,151734,151162,151009,150689,150721
"Hattiesburg, MS",Metropolitan Statistical Area,162856,164801,165994,166971,167179,167873,168158,167719,168292,168849
"Covington County, MS",County or equivalent,19577,19485,19443,19208,19151,19243,19174,19014,18825,18636
"Forrest County, MS",County or equivalent,74941,75790,76412,76584,75822,75593,75564,75155,74912,74897
"Lamar County, MS",County or equivalent,56104,57375,58143,59170,60153,60966,61364,61536,62637,63343
"Perry County, MS",County or equivalent,12234,12151,11996,12009,12053,12071,12056,12014,11918,11973
"Hickory-Lenoir-Morganton, NC",Metropolitan Statistical Area,365565,364478,363670,363379,363035,363346,364798,367085,368449,369711
"Alexander County, NC",County or equivalent,37233,37026,36922,37012,36987,36960,37133,37143,37331,37497
"Burke County, NC",County or equivalent,90580,90542,89974,89354,89296,89341,89451,90157,90405,90485
"Caldwell County, NC",County or equivalent,83022,82451,82081,82048,81667,81518,81766,81933,82026,82178
"Catawba County, NC",County or equivalent,154730,154459,154693,154965,155085,155527,156448,157852,158687,159551
"Hilton Head Island-Bluffton, SC",Metropolitan Statistical Area,187777,189330,193145,197292,201725,207256,211269,215019,218023,222195
"Beaufort County, SC",County or equivalent,162829,164032,167415,170962,175040,179796,183184,186497,188876,192122
"Jasper County, SC",County or equivalent,24948,25298,25730,26330,26685,27460,28085,28522,29147,30073
"Hinesville, GA",Metropolitan Statistical Area,77339,80267,80406,78825,81120,79269,79845,80399,79697,80994
"Liberty County, GA",County or equivalent,62765,65179,64412,62341,64091,61611,61473,61619,60606,61435
"Long County, GA",County or equivalent,14574,15088,15994,16484,17029,17658,18372,18780,19091,19559
"Homosassa Springs, FL",Metropolitan Statistical Area,141173,139764,139180,138829,138828,140287,142804,145415,147682,149657
"Citrus County, FL",County or equivalent,141173,139764,139180,138829,138828,140287,142804,145415,147682,149657
"Hot Springs, AR",Metropolitan Statistical Area,96067,96854,96986,97654,97758,97814,98282,98327,98966,99386
"Garland County, AR",County or equivalent,96067,96854,96986,97654,97758,97814,98282,98327,98966,99386
"Houma-Thibodaux, LA",Metropolitan Statistical Area,208251,208713,208885,209983,211368,212131,211512,209946,209144,208075
"Lafourche Parish, LA",County or equivalent,96745,97078,97177,97276,97886,98314,98506,98123,97981,97614
"Terrebonne Parish, LA",County or equivalent,111506,111635,111708,112707,113482,113817,113006,111823,111163,110461
"Houston-The Woodlands-Sugar Land, TX",Metropolitan Statistical Area,5947236,6056193,6183531,6328208,6500199,6671808,6806503,6900090,6976147,7066141
"Austin County, TX",County or equivalent,28363,28604,28562,28679,28968,29471,29629,29722,29965,30032
"Brazoria County, TX",County or equivalent,314428,319147,324224,329890,337570,345227,353155,361853,368887,374264
"Chambers County, TX",County or equivalent,35456,35699,36508,37367,38296,39028,40163,41269,42227,43837
"Fort Bend County, TX",County or equivalent,590253,606064,624824,651847,684048,715331,744160,767712,788081,811688
"Galveston County, TX",County or equivalent,292484,295605,301049,306589,313367,320974,328820,334633,337858,342139
"Harris County, TX",County or equivalent,4107666,4179568,4263094,4353187,4455994,4557846,4623960,4657972,4680045,4713325
"Liberty County, TX",County or equivalent,75859,75990,76370,76849,78045,79537,81354,83597,85802,88219
"Montgomery County, TX",County or equivalent,459208,471415,484565,498392,517146,535753,555216,571615,589770,607391
"Waller County, TX",County or equivalent,43519,44101,44335,45408,46765,48641,50046,51717,53512,55246
"Huntington-Ashland, WV-KY-OH",Metropolitan Statistical Area,371065,371126,370972,370179,368938,367224,365020,361970,359069,355873
"Boyd County, KY",County or equivalent,49602,49407,49224,48880,48798,48471,48121,47808,47292,46718
"Carter County, KY",County or equivalent,27746,27627,27637,27600,27517,27439,27304,27214,27040,26797
"Greenup County, KY",County or equivalent,36885,36841,36686,36483,36303,36006,35824,35514,35332,35098
"Lawrence County, OH",County or equivalent,62424,62415,62146,61858,61539,60923,60691,60075,59767,59463
"Cabell County, WV",County or equivalent,96322,96612,96949,97026,96639,96582,95681,94452,93035,91945
"Putnam County, WV",County or equivalent,55620,56030,56445,56492,56625,56592,56675,56692,56642,56450
"Wayne County, WV",County or equivalent,42466,42194,41885,41840,41517,41211,40724,40215,39961,39402
"Huntsville, AL",Metropolitan Statistical Area,419276,425122,430056,435541,440395,444542,449576,455892,463181,471824
"Limestone County, AL",County or equivalent,83181,85557,87326,88916,90599,91565,92847,94130,96177,98915
"Madison County, AL",County or equivalent,336095,339565,342730,346625,349796,352977,356729,361762,367004,372909
"Idaho Falls, ID",Metropolitan Statistical Area,133813,134959,136165,136840,137838,139542,142520,145512,148436,151530
"Bonneville County, ID",County or equivalent,104675,105813,106764,107369,108236,109849,112118,114488,116444,119062
"Butte County, ID",County or equivalent,2915,2833,2760,2667,2658,2566,2572,2585,2587,2597
"Jefferson County, ID",County or equivalent,26223,26313,26641,26804,26944,27127,27830,28439,29405,29871
"Indianapolis-Carmel-Anderson, IN",Metropolitan Statistical Area,1892640,1910719,1929678,1953600,1971006,1986119,2006760,2027584,2052368,2074537
"Boone County, IN",County or equivalent,56916,57915,59033,60346,61631,63033,64192,65723,66930,67843
"Brown County, IN",County or equivalent,15207,15076,15049,15055,14944,14994,14996,15010,15230,15092
"Hamilton County, IN",County or equivalent,276493,283368,289747,296858,302772,308428,315902,322933,330311,338011
"Hancock County, IN",County or equivalent,70247,70363,70582,70980,71754,72413,73765,74998,76478,78168
"Hendricks County, IN",County or equivalent,145954,148664,150735,153555,155845,157776,160376,163622,166908,170311
"Johnson County, IN",County or equivalent,140269,141734,143475,145410,147085,148962,151540,153820,156093,158167
"Madison County, IN",County or equivalent,131619,131002,130197,130303,129736,129388,129329,129418,129573,129569
"Marion County, IN",County or equivalent,904591,911217,919786,929922,935935,939843,945685,950537,958700,964582
"Morgan County, IN",County or equivalent,69138,69233,69177,69344,69495,69559,69633,69793,70137,70489
"Putnam County, IN",County or equivalent,37909,37867,37640,37494,37451,37382,37113,37363,37486,37576
"Shelby County, IN",County or equivalent,44297,44280,44257,44333,44358,44341,44229,44367,44522,44729
"Iowa City, IA",Metropolitan Statistical Area,153025,155908,159006,162095,164759,167088,169054,171529,172607,173105
"Johnson County, IA",County or equivalent,131337,134086,137103,140151,142730,144943,146928,149325,150549,151140
"Washington County, IA",County or equivalent,21688,21822,21903,21944,22029,22145,22126,22204,22058,21965
"Ithaca, NY",Metropolitan Statistical Area,101740,101821,102726,103553,103391,103006,102942,102664,102419,102180
"Tompkins County, NY",County or equivalent,101740,101821,102726,103553,103391,103006,102942,102664,102419,102180
"Jackson, MI",Metropolitan Statistical Area,160109,159658,159962,159628,159421,159264,158277,158563,158566,158510
"Jackson County, MI",County or equivalent,160109,159658,159962,159628,159421,159264,158277,158563,158566,158510
"Jackson, MS",Metropolitan Statistical Area,588272,593409,595585,596325,597357,597928,599170,599358,597376,594806
"Copiah County, MS",County or equivalent,29434,29278,29047,28941,28977,28865,28647,28528,28400,28065
"Hinds County, MS",County or equivalent,245720,248205,247997,246250,245291,244216,242176,239929,235824,231840
"Holmes County, MS",County or equivalent,19405,19081,18919,18802,18510,18367,18017,17849,17444,17010
"Madison County, MS",County or equivalent,95538,96956,98059,99485,100841,102453,103852,104584,105648,106272
"Rankin County, MS",County or equivalent,142515,144207,145809,147321,148426,149447,151514,152904,154250,155271
"Simpson County, MS",County or equivalent,27526,27405,27424,27531,27512,27169,26992,26905,26717,26658
"Yazoo County, MS",County or equivalent,28134,28277,28330,27995,27800,27411,27972,28659,29093,29690
"Jackson, TN",Metropolitan Statistical Area,179762,179692,179857,179836,179358,178607,178306,178336,178315,178644
"Chester County, TN",County or equivalent,17194,17150,17076,17116,17136,17123,17130,17154,17245,17297
"Crockett County, TN",County or equivalent,14588,14560,14610,14610,14652,14586,14448,14436,14296,14230
"Gibson County, TN",County or equivalent,49731,49898,49666,49380,49436,49329,49250,49255,49171,49133
"Madison County, TN",County or equivalent,98249,98084,98505,98730,98134,97569,97478,97491,97603,97984
"Jacksonville, FL",Metropolitan Statistical Area,1348907,1361972,1377607,1393432,1416446,1444638,1476023,1505033,1532663,1559514
"Baker County, FL",County or equivalent,27066,27049,27053,27009,27122,27355,27884,28254,28353,29210
"Clay County, FL",County or equivalent,191451,192314,193861,195657,198570,202392,207246,212228,215908,219252
"Duval County, FL",County or equivalent,865628,872355,880108,885943,896668,910578,926010,937933,948652,957755
"Nassau County, FL",County or equivalent,73513,74148,74519,75384,76250,77951,80055,82925,85936,88625
"St. Johns County, FL",County or equivalent,191249,196106,202066,209439,217836,226362,234828,243693,253814,264672
"Jacksonville, NC",Metropolitan Statistical Area,186892,184993,190678,192354,191822,193114,192314,195066,196915,197938
"Onslow County, NC",County or equivalent,186892,184993,190678,192354,191822,193114,192314,195066,196915,197938
"Janesville-Beloit, WI",Metropolitan Statistical Area,160260,159867,160065,160341,160920,161006,161320,162205,162874,163354
"Rock County, WI",County or equivalent,160260,159867,160065,160341,160920,161006,161320,162205,162874,163354
"Jefferson City, MO",Metropolitan Statistical Area,149991,150413,150391,150669,150727,150928,151375,151319,151512,151235
"Callaway County, MO",County or equivalent,44310,44304,44399,44528,44633,44699,45069,44982,44954,44743
"Cole County, MO",County or equivalent,76150,76495,76477,76722,76647,76818,76702,76632,76720,76745
"Moniteau County, MO",County or equivalent,15626,15706,15669,15742,15809,15873,15991,16047,16186,16132
"Osage County, MO",County or equivalent,13905,13908,13846,13677,13638,13538,13613,13658,13652,13615
"Johnson City, TN",Metropolitan Statistical Area,199010,199574,200473,200470,200021,200331,201457,201909,202900,203649
"Carter County, TN",County or equivalent,57342,57385,57347,56978,56325,56375,56473,56510,56417,56391
"Unicoi County, TN",County or equivalent,18284,18302,18253,18095,17951,17819,17737,17796,17822,17883
"Washington County, TN",County or equivalent,123384,123887,124873,125397,125745,126137,127247,127603,128661,129375
"Johnstown, PA",Metropolitan Statistical Area,143461,142579,141536,138826,137537,136028,134414,132960,131449,130192
"Cambria County, PA",County or equivalent,143461,142579,141536,138826,137537,136028,134414,132960,131449,130192
"Jonesboro, AR",Metropolitan Statistical Area,121263,122854,124292,125840,126813,128459,129906,131259,132719,133860
"Craighead County, AR",County or equivalent,96748,98405,99993,101653,102661,104457,105932,107188,108816,110332
"Poinsett County, AR",County or equivalent,24515,24449,24299,24187,24152,24002,23974,24071,23903,23528
"Joplin, MO",Metropolitan Statistical Area,175833,173846,174407,175144,175869,176686,177397,178239,178613,179564
"Jasper County, MO",County or equivalent,117656,115283,115770,116766,117742,118548,119219,120048,120455,121328
"Newton County, MO",County or equivalent,58177,58563,58637,58378,58127,58138,58178,58191,58158,58236
"Kahului-Wailuku-Lahaina, HI",Metropolitan Statistical Area,155020,156936,158889,161004,163036,163904,165350,166146,166972,167417
"Maui County, HI",County or equivalent,155020,156936,158889,161004,163036,163904,165350,166146,166972,167417
"Kalamazoo-Portage, MI",Metropolitan Statistical Area,250751,252600,255353,257311,258951,259676,261304,262998,264680,265066
"Kalamazoo County, MI",County or equivalent,250751,252600,255353,257311,258951,259676,261304,262998,264680,265066
"Kankakee, IL",Metropolitan Statistical Area,113418,113519,112974,112735,111883,111750,111080,110540,109953,109862
"Kankakee County, IL",County or equivalent,113418,113519,112974,112735,111883,111750,111080,110540,109953,109862
"Kansas City, MO-KS",Metropolitan Statistical Area,2013361,2025490,2038586,2053850,2069182,2085913,2107066,2127203,2144427,2157990
"Johnson County, KS",County or equivalent,545655,552907,559428,566351,572940,579684,586015,591305,598127,602401
"Leavenworth County, KS",County or equivalent,76520,77075,77644,78082,78554,79119,80244,81109,81497,81758
"Linn County, KS",County or equivalent,9626,9612,9485,9543,9536,9580,9606,9697,9771,9703
"Miami County, KS",County or equivalent,32882,32737,32669,32834,32868,32758,32923,33429,33737,34237
"Wyandotte County, KS",County or equivalent,157633,158011,159379,160933,162246,163682,164785,165087,165321,165429
"Bates County, MO",County or equivalent,17028,16965,16616,16428,16515,16362,16351,16293,16304,16172
"Caldwell County, MO",County or equivalent,9428,9278,9088,9040,8998,9002,9043,9059,9071,9020
"Cass County, MO",County or equivalent,99754,99998,100435,100676,100828,101339,102622,103477,104769,105780
"Clay County, MO",County or equivalent,222650,225243,227579,230306,233008,235161,238583,242527,246360,249948
"Clinton County, MO",County or equivalent,20740,20678,20560,20562,20261,20581,20548,20551,20435,20387
"Jackson County, MO",County or equivalent,674845,675553,677417,679841,683014,686783,692430,698072,700784,703011
"Lafayette County, MO",County or equivalent,33381,33207,33054,32823,32619,32624,32534,32579,32542,32708
"Platte County, MO",County or equivalent,89702,90880,92151,93367,94859,96445,98641,101141,102764,104418
"Ray County, MO",County or equivalent,23517,23346,23081,23064,22936,22793,22741,22877,22945,23018
"Kennewick-Richland, WA",Metropolitan Statistical Area,255542,263487,268071,270766,274154,278945,283693,290096,295289,299612
"Benton County, WA",County or equivalent,176465,180436,182373,184318,186489,190218,193494,198200,201286,204390
"Franklin County, WA",County or equivalent,79077,83051,85698,86448,87665,88727,90199,91896,94003,95222
"Killeen-Temple, TX",Metropolitan Statistical Area,408262,412348,423475,423931,426421,432583,436421,442998,451272,460303
"Bell County, TX",County or equivalent,312849,315799,324963,327028,330149,336076,341094,347377,355397,362924
"Coryell County, TX",County or equivalent,75651,76625,78458,76761,76166,76145,74803,74760,74741,75951
"Lampasas County, TX",County or equivalent,19762,19924,20054,20142,20106,20362,20524,20861,21134,21428
"Kingsport-Bristol, TN-VA",Metropolitan Statistical Area,309480,309098,308623,307811,307198,306279,306017,306496,306736,307202
"Hawkins County, TN",County or equivalent,56870,56621,56560,56696,56481,56370,56565,56620,56713,56786
"Sullivan County, TN",County or equivalent,156749,156876,156322,156185,156404,156199,156182,156924,157599,158348
"Scott County, VA",County or equivalent,23128,23053,22954,22768,22519,22296,22082,21893,21672,21566
"Washington County, VA",County or equivalent,54967,54831,55095,54776,54603,54268,54100,54179,54067,53740
"Bristol city, VA",County or equivalent,17766,17717,17692,17386,17191,17146,17088,16880,16685,16762
"Kingston, NY",Metropolitan Statistical Area,182418,182448,181538,180698,180400,179658,179042,178635,178418,177573
"Ulster County, NY",County or equivalent,182418,182448,181538,180698,180400,179658,179042,178635,178418,177573
"Knoxville, TN",Metropolitan Statistical Area,815984,820702,825007,829017,832928,837818,844942,853645,861234,869046
"Anderson County, TN",County or equivalent,75098,75209,75225,75299,75157,75456,75528,76056,76287,76978
"Blount County, TN",County or equivalent,123199,123664,124024,124874,125847,126954,128264,129999,131331,133088
"Campbell County, TN",County or equivalent,40735,40688,40532,40247,39893,39772,39784,39791,39795,39842
"Knox County, TN",County or equivalent,432938,436776,440791,444314,447903,451297,456089,461565,466258,470313
"Loudon County, TN",County or equivalent,48710,49188,49823,50386,50586,50916,51373,52260,53082,54068
"Morgan County, TN",County or equivalent,22019,21998,21892,21673,21699,21494,21741,21555,21534,21403
"Roane County, TN",County or equivalent,54169,53988,53615,53161,52852,52770,52944,53020,53258,53382
"Union County, TN",County or equivalent,19116,19191,19105,19063,18991,19159,19219,19399,19689,19972
"Kokomo, IN",Metropolitan Statistical Area,82752,82797,82839,82738,82605,82338,82304,82210,82257,82544
"Howard County, IN",County or equivalent,82752,82797,82839,82738,82605,82338,82304,82210,82257,82544
"La Crosse-Onalaska, WI-MN",Metropolitan Statistical Area,133897,134106,135307,135655,136140,136385,136384,136710,136613,136616
"Houston County, MN",County or equivalent,19025,18876,18764,18774,18700,18686,18703,18677,18572,18600
"La Crosse County, WI",County or equivalent,114872,115230,116543,116881,117440,117699,117681,118033,118041,118016
"Lafayette, LA",Metropolitan Statistical Area,467612,470935,474205,479794,484876,489507,490877,490299,489680,489207
"Acadia Parish, LA",County or equivalent,61877,61865,61997,62299,62667,62679,62786,62559,62214,62045
"Iberia Parish, LA",County or equivalent,73111,73439,73660,73839,73724,73747,72971,71982,70905,69830
"Lafayette Parish, LA",County or equivalent,222315,224673,227298,231471,235695,239332,241275,241756,243113,244390
"St. Martin Parish, LA",County or equivalent,52224,52760,52614,52901,53256,53831,53771,54066,53562,53431
"Vermilion Parish, LA",County or equivalent,58085,58198,58636,59284,59534,59918,60074,59936,59886,59511
"Lafayette-West Lafayette, IN",Metropolitan Statistical Area,210687,213230,216449,219183,221445,223573,227088,228101,230938,233002
"Benton County, IN",County or equivalent,8863,8856,8821,8748,8720,8693,8658,8631,8653,8748
"Carroll County, IN",County or equivalent,20199,20043,20112,20113,19953,19887,19973,20067,20188,20257
"Tippecanoe County, IN",County or equivalent,173104,175861,179124,181953,184433,186723,190292,191199,193817,195732
"Warren County, IN",County or equivalent,8521,8470,8392,8369,8339,8270,8165,8204,8280,8265
"Lake Charles, LA",Metropolitan Statistical Area,199943,200534,201110,202205,203296,205275,207464,209410,210190,210409
"Calcasieu Parish, LA",County or equivalent,193026,193861,194479,195492,196570,198450,200568,202466,203177,203436
"Cameron Parish, LA",County or equivalent,6917,6673,6631,6713,6726,6825,6896,6944,7013,6973
"Lake Havasu City-Kingman, AZ",Metropolitan Statistical Area,200314,202812,203347,203126,203423,204574,205412,207017,209292,212181
"Mohave County, AZ",County or equivalent,200314,202812,203347,203126,203423,204574,205412,207017,209292,212181
"Lakeland-Winter Haven, FL",Metropolitan Statistical Area,603102,609948,615453,622633,634398,648523,665823,685368,706597,724777
"Polk County, FL",County or equivalent,603102,609948,615453,622633,634398,648523,665823,685368,706597,724777
"Lancaster, PA",Metropolitan Statistical Area,520319,523957,526878,530012,533289,535811,538160,541332,543969,545724
"Lancaster County, PA",County or equivalent,520319,523957,526878,530012,533289,535811,538160,541332,543969,545724
"Lansing-East Lansing, MI",Metropolitan Statistical Area,534899,536605,537005,538089,540028,541271,545146,548380,548674,550391
"Clinton County, MI",County or equivalent,75403,75899,76166,76809,76954,77009,77617,78506,79219,79595
"Eaton County, MI",County or equivalent,107746,107921,107996,108264,108639,108661,109183,109456,109710,110268
"Ingham County, MI",County or equivalent,281116,282787,283514,284113,285627,287096,289804,292018,291612,292406
"Shiawassee County, MI",County or equivalent,70634,69998,69329,68903,68808,68505,68542,68400,68133,68122
"Laredo, TX",Metropolitan Statistical Area,251370,255935,260595,264430,267465,269865,272301,273691,275120,276652
"Webb County, TX",County or equivalent,251370,255935,260595,264430,267465,269865,272301,273691,275120,276652
"Las Cruces, NM",Metropolitan Statistical Area,210097,213126,214450,214288,213933,214034,214663,216174,217278,218195
"Doña Ana County, NM",County or equivalent,210097,213126,214450,214288,213933,214034,214663,216174,217278,218195
"Las Vegas-Henderson-Paradise, NV",Metropolitan Statistical Area,1952587,1961925,1989224,2017193,2053134,2096717,2138836,2181635,2226115,2266715
"Clark County, NV",County or equivalent,1952587,1961925,1989224,2017193,2053134,2096717,2138836,2181635,2226115,2266715
"Lawrence, KS",Metropolitan Statistical Area,111198,112479,113313,114713,116445,118141,119662,120281,121109,122259
"Douglas County, KS",County or equivalent,111198,112479,113313,114713,116445,118141,119662,120281,121109,122259
"Lawton, OK",Metropolitan Statistical Area,131569,132255,132696,131113,130909,130011,127676,127649,126348,126415
"Comanche County, OK",County or equivalent,125397,126075,126536,124949,124778,124005,121743,121786,120528,120749
