NAME,LSAD,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
"Oconee County, GA",County or equivalent,32925,33264,33514,34077,35072,35853,36929,38122,39478,40280
"Oglethorpe County, GA",County or equivalent,14899,14708,14509,14423,14541,14732,14712,14874,15080,15259
"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,5302598,5366462,5444473,5510530,5593204,5686048,5787965,5872432,5945303,6020364
"Barrow County, GA",County or equivalent,69676,69844,70135,71239,72849,74979,77000,78899,80834,83240
"Bartow County, GA",County or equivalent,100050,100116,100240,100917,101233,102043,103338,105098,106378,107738
"Butts County, GA",County or equivalent,23786,23609,23438,23218,23341,23520,23736,24067,24192,24936
"Carroll County, GA",County or equivalent,110655,110728,111412,112265,113933,114461,116077,117390,117997,119992
"Cherokee County, GA",County or equivalent,215197,217732,220643,224314,230167,235329,241795,247763,253914,258773
"Clayton County, GA",County or equivalent,259877,262031,265294,264015,266629,272720,279333,284184,289197,292256
"Cobb County, GA",County or equivalent,689495,696507,706322,716017,727543,739052,748178,752649,756070,760141
"Coweta County, GA",County or equivalent,127937,129374,130593,132944,135140,138145,140497,143153,145998,148509
"Dawson County, GA",County or equivalent,22328,22340,22513,22732,23022,23369,23668,24406,25127,26108
"DeKalb County, GA",County or equivalent,692443,698329,710557,717740,724892,734434,746802,751176,754906,759297
"Douglas County, GA",County or equivalent,132573,133106,133555,136024,138007,140173,141664,143376,145024,146343
"Fayette County, GA",County or equivalent,106938,107156,107315,108054,109199,110141,111218,112553,113181,114421
"Forsyth County, GA",County or equivalent,176723,181794,186793,193801,202598,211250,220481,228940,236993,244252
"Fulton County, GA",County or equivalent,925632,947469,973221,981472,991847,1005127,1022866,1038938,1050131,1063937
"Gwinnett County, GA",County or equivalent,808007,822415,836844,853459,870986,888494,904962,918186,927337,936250
"Haralson County, GA",County or equivalent,28758,28465,28310,28335,28487,28702,28830,29248,29561,29792
"Heard County, GA",County or equivalent,11841,11731,11652,11564,11623,11556,11579,11751,11871,11923
"Henry County, GA",County or equivalent,205039,206911,208005,210012,212957,216414,220896,225182,229728,234561
"Jasper County, GA",County or equivalent,13889,13832,13640,13597,13531,13683,13767,13882,14029,14219
"Lamar County, GA",County or equivalent,18265,18160,18030,17929,18189,18236,18484,18600,18961,19077
"Meriwether County, GA",County or equivalent,21818,21598,21335,21217,21208,21173,21074,21021,21094,21167
"Morgan County, GA",County or equivalent,17901,17907,17809,17682,17896,17948,18107,18373,18831,19276
"Newton County, GA",County or equivalent,100133,100444,100956,102040,103441,104884,106499,107846,109421,111744
"Paulding County, GA",County or equivalent,142837,143606,144738,146753,148532,151649,155246,159509,164053,168667
"Pickens County, GA",County or equivalent,29436,29390,29260,29387,29807,30136,30652,31541,32014,32591
"Pike County, GA",County or equivalent,17922,17785,17770,17774,17765,17925,17897,18204,18647,18962
"Rockdale County, GA",County or equivalent,85354,85409,85427,86480,87164,88354,88987,89843,90505,90896
"Spalding County, GA",County or equivalent,64096,64044,63691,63508,63692,63818,64546,65358,66107,66703
"Walton County, GA",County or equivalent,83992,84630,84975,86041,87526,88333,89786,91296,93202,94593
"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,274648,274621,274629,274314,272578,270153,267217,265498,263989,263670
"Atlantic County, NJ",County or equivalent,274648,274621,274629,274314,272578,270153,267217,265498,263989,263670
"Auburn-Opelika, AL",Metropolitan Statistical Area,140794,144130,148567,151809,154511,156954,159168,161440,163656,164542
"Lee County, AL",County or equivalent,140794,144130,148567,151809,154511,156954,159168,161440,163656,164542
"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,566694,570849,576206,579802,583046,589574,595029,600276,604221,608980
"Burke County, GA",County or equivalent,23336,23506,23048,22824,22621,22632,22601,22545,22439,22383
"Columbia County, GA",County or equivalent,124955,128804,132541,136141,139104,143837,147370,151529,154077,156714
"Lincoln County, GA",County or equivalent,7970,7872,7764,7734,7644,7722,7855,7856,7925,7921
"McDuffie County, GA",County or equivalent,21803,21614,21630,21499,21524,21462,21456,21511,21532,21312
"Richmond County, GA",County or equivalent,201115,200568,201742,201335,201287,201451,201949,201673,201667,202518
"Aiken County, SC",County or equivalent,160552,161594,162922,163702,164215,165688,167172,168325,169449,170872
"Edgefield County, SC",County or equivalent,26963,26891,26559,26567,26651,26782,26626,26837,27132,27260
"Austin-Round Rock-Georgetown, TX",Metropolitan Statistical Area,1727502,1780535,1834586,1883315,1942467,2002134,2062016,2115475,2165497,2227083
"Bastrop County, TX",County or equivalent,74371,75055,74749,75814,77737,80115,82591,84585,86595,88723
"Caldwell County, TX",County or equivalent,38127,38470,38682,39201,39703,40419,41147,42328,43161,43664
"Hays County, TX",County or equivalent,158214,163270,168519,176035,184854,194662,204546,214726,222706,230191
"Travis County, TX",County or equivalent,1030503,1061709,1096886,1122248,1152260,1179805,1206110,1227585,1246572,1273954
"Williamson County, TX",County or equivalent,426287,442031,455750,470017,487913,507133,527622,546251,566463,590551
"Bakersfield, CA",Metropolitan Statistical Area,840996,847970,853606,862000,869176,876031,880856,887356,893758,900202
"Kern County, CA",County or equivalent,840996,847970,853606,862000,869176,876031,880856,887356,893758,900202
"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,2715738,2733785,2754637,2768233,2780055,2790053,2794111,2798707,2800743,2800053
"Anne Arundel County, MD",County or equivalent,539284,544803,550333,555417,559142,563027,567254,571339,575523,579234
"Baltimore County, MD",County or equivalent,806656,812961,818113,822274,824994,827533,828682,828645,827859,827370
"Carroll County, MD",County or equivalent,167213,167037,167049,167217,167327,167132,167100,167547,168267,168447
"Harford County, MD",County or equivalent,245237,246729,248566,248890,249314,249558,250370,251858,253882,255441
"Howard County, MD",County or equivalent,288627,293583,299184,303527,306909,311297,315416,319251,322621,325690
"Queen Anne's County, MD",County or equivalent,47806,48262,48497,48517,48782,48984,49063,49586,50148,50381
"Baltimore city, MD",County or equivalent,620915,620410,622895,622391,623587,622522,616226,610481,602443,593490
"Bangor, ME",Metropolitan Statistical Area,153861,153759,153347,153222,153201,151929,151333,151645,151817,152148
"Penobscot County, ME",County or equivalent,153861,153759,153347,153222,153201,151929,151333,151645,151817,152148
"Barnstable Town, MA",Metropolitan Statistical Area,215899,215356,214788,214518,214289,213877,213559,213581,213471,212990
"Barnstable County, MA",County or equivalent,215899,215356,214788,214518,214289,213877,213559,213581,213471,212990
"Baton Rouge, LA",Metropolitan Statistical Area,827629,831493,836197,841986,846827,851167,856723,854295,854526,854884
"Ascension Parish, LA",County or equivalent,107890,110075,112218,114636,117282,119374,121558,123177,124858,126604
"Assumption Parish, LA",County or equivalent,23333,23185,23072,23199,23047,22898,22756,22568,22279,21891
"East Baton Rouge Parish, LA",County or equivalent,440912,441564,442955,444181,445119,445512,446677,444511,442058,440059
"East Feliciana Parish, LA",County or equivalent,20157,20085,19860,19601,19677,19540,19513,19380,19286,19135
"Iberville Parish, LA",County or equivalent,33388,33361,33327,33385,33131,33136,32864,32906,32693,32511
"Livingston Parish, LA",County or equivalent,128337,129828,131478,133668,135168,137116,139627,137712,139394,140789
"Pointe Coupee Parish, LA",County or equivalent,22823,22814,22683,22429,22313,22197,22111,22164,21879,21730
"St. Helena Parish, LA",County or equivalent,11197,10955,10979,10771,10519,10457,10389,10322,10187,10132
"West Baton Rouge Parish, LA",County or equivalent,23951,24109,24149,24654,25192,25554,25901,26184,26400,26465
"West Feliciana Parish, LA",County or equivalent,15641,15517,15476,15462,15379,15383,15327,15371,15492,15568
"Battle Creek, MI",Metropolitan Statistical Area,135951,135105,134737,134751,134804,134327,134344,134180,134049,134159
"Calhoun County, MI",County or equivalent,135951,135105,134737,134751,134804,134327,134344,134180,134049,134159
"Bay City, MI",Metropolitan Statistical Area,107679,107417,106967,106794,106046,105237,104411,104045,103702,103126
"Bay County, MI",County or equivalent,107679,107417,106967,106794,106046,105237,104411,104045,103702,103126
"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,389251,390905,389614,391195,391651,394825,396539,398129,393815,392563
"Hardin County, TX",County or equivalent,54784,55070,55122,55305,55510,55758,56242,57117,57107,57602
"Jefferson County, TX",County or equivalent,252455,253494,251605,253079,252897,255112,255748,256041,253234,251565
"Orange County, TX",County or equivalent,82012,82341,82887,82811,83244,83955,84549,84971,83474,83396
"Beckley, WV",Metropolitan Statistical Area,124949,125266,125110,124356,123342,122070,120475,118673,117154,115767
"Fayette County, WV",County or equivalent,46030,45921,45861,45557,45159,44707,44179,43607,42982,42406
"Raleigh County, WV",County or equivalent,78919,79345,79249,78799,78183,77363,76296,75066,74172,73361
"Bellingham, WA",Metropolitan Statistical Area,201545,203490,204863,206073,208154,211836,216417,221410,225197,229247
"Whatcom County, WA",County or equivalent,201545,203490,204863,206073,208154,211836,216417,221410,225197,229247
"Bend, OR",Metropolitan Statistical Area,157742,159660,161359,165299,169512,174246,180666,186744,191905,197692
"Deschutes County, OR",County or equivalent,157742,159660,161359,165299,169512,174246,180666,186744,191905,197692
"Billings, MT",Metropolitan Statistical Area,167571,169017,170942,173367,174952,176357,177759,179365,180203,181667
"Carbon County, MT",County or equivalent,10063,10089,10141,10337,10438,10403,10485,10680,10691,10725
"Stillwater County, MT",County or equivalent,9114,9156,9166,9255,9235,9425,9360,9419,9483,9642
"Yellowstone County, MT",County or equivalent,148394,149772,151635,153775,155279,156529,157914,159266,160029,161300
"Binghamton, NY",Metropolitan Statistical Area,251489,250238,248945,248017,247075,245283,243322,241709,240366,238691
"Broome County, NY",County or equivalent,200481,199363,198667,197914,197251,195928,194498,193100,191925,190488
"Tioga County, NY",County or equivalent,51008,50875,50278,50103,49824,49355,48824,48609,48441,48203
"Birmingham-Hoover, AL",Metropolitan Statistical Area,1061717,1064030,1067563,1072882,1076087,1079752,1082877,1085615,1087967,1090435
"Bibb County, AL",County or equivalent,22870,22745,22667,22521,22553,22566,22586,22550,22367,22394
"Blount County, AL",County or equivalent,57376,57560,57580,57619,57526,57526,57494,57787,57771,57826
"Chilton County, AL",County or equivalent,43653,43689,43582,43628,43760,43700,43866,44120,44163,44428
"Jefferson County, AL",County or equivalent,658215,658109,658061,659265,659972,660455,660343,659599,659429,658573
"St. Clair County, AL",County or equivalent,83571,83975,84761,85810,85996,86546,87306,87926,88654,89512
"Shelby County, AL",County or equivalent,196032,197952,200912,204039,206280,208959,211282,213633,215583,217702
"Bismarck, ND",Metropolitan Statistical Area,111112,112865,115679,119240,122155,125325,127233,128115,128279,128949
"Burleigh County, ND",County or equivalent,81701,83295,85748,88422,90510,93211,94606,95247,95276,95626
"Morton County, ND",County or equivalent,27570,27721,28083,28929,29777,30249,30732,30938,31058,31364
"Oliver County, ND",County or equivalent,1841,1849,1848,1889,1868,1865,1895,1930,1945,1959
"Blacksburg-Christiansburg, VA",Metropolitan Statistical Area,163131,163442,164120,165240,165688,165725,166572,166605,167492,167531
"Giles County, VA",County or equivalent,17316,17151,17022,16988,16849,16762,16827,16754,16799,16720
"Montgomery County, VA",County or equivalent,94557,94737,95652,96589,97107,97317,98172,98142,98532,98535
"Pulaski County, VA",County or equivalent,34828,34740,34732,34546,34340,34351,34249,34225,34060,34027
"Radford city, VA",County or equivalent,16430,16814,16714,17117,17392,17295,17324,17484,18101,18249
"Bloomington, IL",Metropolitan Statistical Area,169810,170909,172721,175037,174105,173141,173070,172754,172410,171517
"McLean County, IL",County or equivalent,169810,170909,172721,175037,174105,173141,173070,172754,172410,171517
"Bloomington, IN",Metropolitan Statistical Area,160132,161722,162852,163221,164422,165073,166655,167429,168092,169230
"Monroe County, IN",County or equivalent,138566,140233,141484,142068,143403,144247,145757,146638,147230,148431
"Owen County, IN",County or equivalent,21566,21489,21368,21153,21019,20826,20898,20791,20862,20799
"Bloomsburg-Berwick, PA",Metropolitan Statistical Area,85657,85449,85472,85592,85538,84980,84390,83851,83455,83194
"Columbia County, PA",County or equivalent,67356,67082,67039,67193,67119,66681,66133,65581,65215,64964
"Montour County, PA",County or equivalent,18301,18367,18433,18399,18419,18299,18257,18270,18240,18230
"Boise City, ID",Metropolitan Statistical Area,617866,627670,637425,649224,662624,674640,691285,709682,728911,749202
"Ada County, ID",County or equivalent,393354,401262,408862,415951,425471,432862,444486,456548,468764,481587
"Boise County, ID",County or equivalent,7005,6986,6790,6720,6779,6963,7095,7347,7655,7831
"Canyon County, ID",County or equivalent,189347,191354,193734,198590,202440,206842,211381,216858,223236,229849
"Gem County, ID",County or equivalent,16687,16692,16630,16569,16646,16685,16959,17311,17587,18112
"Owyhee County, ID",County or equivalent,11473,11376,11409,11394,11288,11288,11364,11618,11669,11823
"Boston-Cambridge-Newton, MA-NH",Metropolitan Statistical Area,4566348,4609790,4656593,4702877,4746931,4778340,4809061,4841772,4859536,4873019
"Boston, MA",Metropolitan Division,1894717,1913107,1933463,1953625,1972382,1986314,2001862,2016866,2024799,2031884
"Norfolk County, MA",County or equivalent,673019,677782,682865,688345,692239,694502,697079,700599,703230,706775
"Plymouth County, MA",County or equivalent,495926,498184,499495,502792,506513,509221,512207,515461,518422,521202
"Suffolk County, MA",County or equivalent,725772,737141,751103,762488,773630,782591,792576,800806,803147,803907
"Cambridge-Newton-Framingham, MA",Metropolitan Division,2253142,2276355,2300205,2324767,2346646,2362297,2374511,2388396,2396653,2400733
"Essex County, MA",County or equivalent,745461,751507,757338,764563,771653,776865,779847,784453,788183,789034
"Middlesex County, MA",County or equivalent,1507681,1524848,1542867,1560204,1574993,1585432,1594664,1603943,1608470,1611699
"Rockingham County-Strafford County, NH",Metropolitan Division,418489,420328,422925,424485,427903,429729,432688,436510,438084,440402
