State,County,CountyID,Population Change Abs,Pop Change (%),Attribute,Value
AK,Kusilvak,KusilvakAK,855,11.46266256,2017,8236
AK,Kusilvak,KusilvakAK,855,11.46266256,2018,8323
AK,Kusilvak,KusilvakAK,855,11.46266256,2019,8314
AK,Bethel,BethelAK,1373,8.070299183,2010,17084
AK,Bethel,BethelAK,1373,8.070299183,2011,17419
AK,Bethel,BethelAK,1373,8.070299183,2012,17656
AK,Bethel,BethelAK,1373,8.070299183,2013,17852
AK,Bethel,BethelAK,1373,8.070299183,2014,17936
AK,Bethel,BethelAK,1373,8.070299183,2015,17955
AK,Bethel,BethelAK,1373,8.070299183,2016,18022
AK,Bethel,BethelAK,1373,8.070299183,2017,18090
AK,Bethel,BethelAK,1373,8.070299183,2018,18219
AK,Bethel,BethelAK,1373,8.070299183,2019,18386
AZ,Pinal,PinalAZ,87025,23.15948308,2010,379094
AZ,Pinal,PinalAZ,87025,23.15948308,2011,378041
AZ,Pinal,PinalAZ,87025,23.15948308,2012,382251
AZ,Pinal,PinalAZ,87025,23.15948308,2013,385398
AZ,Pinal,PinalAZ,87025,23.15948308,2014,395322
AZ,Pinal,PinalAZ,87025,23.15948308,2015,405614
AZ,Pinal,PinalAZ,87025,23.15948308,2016,417193
AZ,Pinal,PinalAZ,87025,23.15948308,2017,431564
AZ,Pinal,PinalAZ,87025,23.15948308,2018,446806
AZ,Pinal,PinalAZ,87025,23.15948308,2019,462789
AZ,Maricopa,MaricopaAZ,668049,17.50026524,2010,3825110
AZ,Maricopa,MaricopaAZ,668049,17.50026524,2011,3874996
AZ,Maricopa,MaricopaAZ,668049,17.50026524,2012,3947505
AZ,Maricopa,MaricopaAZ,668049,17.50026524,2013,4017723
AZ,Maricopa,MaricopaAZ,668049,17.50026524,2014,4093648
AZ,Maricopa,MaricopaAZ,668049,17.50026524,2015,4172905
AZ,Maricopa,MaricopaAZ,668049,17.50026524,2016,4256143
AZ,Maricopa,MaricopaAZ,668049,17.50026524,2017,4327184
AZ,Maricopa,MaricopaAZ,668049,17.50026524,2018,4402403
AZ,Maricopa,MaricopaAZ,668049,17.50026524,2019,4485414
AZ,Greenlee,GreenleeAZ,1054,12.48223591,2010,8339
AZ,Greenlee,GreenleeAZ,1054,12.48223591,2011,8585
AZ,Greenlee,GreenleeAZ,1054,12.48223591,2012,8764
AZ,Greenlee,GreenleeAZ,1054,12.48223591,2013,8916
AZ,Greenlee,GreenleeAZ,1054,12.48223591,2014,9349
AZ,Greenlee,GreenleeAZ,1054,12.48223591,2015,9577
AZ,Greenlee,GreenleeAZ,1054,12.48223591,2016,9643
AZ,Greenlee,GreenleeAZ,1054,12.48223591,2017,9443
AZ,Greenlee,GreenleeAZ,1054,12.48223591,2018,9448
AZ,Greenlee,GreenleeAZ,1054,12.48223591,2019,9498
AZ,Yavapai,YavapaiAZ,24082,11.41235066,2010,210983
