Table 6. Rental Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2019,,,,,,,,,,
,2015,2016,2017,2018,2019,,,,,
"Salt Lake City, UT....................................................................................................................................................................",5.8,6.4,6.2,6.1,5.0,,,,,
"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",9.6,10.3,11.5,7.4,10.1,,,,,
"San Diego-Carlsbad, CA27.................................................................................................................................",3.4,2.9,3.9,4.5,5.8,,,,,
"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",3.6,3.6,4.2,5.4,3.8,,,,,
"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",3.5,4.5,3.2,4.6,3.7,,,,,
"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",3.8,3.3,3.4,4.8,4.4,,,,,
"Syracuse, NY………………………………………….",9.2,6.5,6.5,5.8,11.3,,,,,
"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",6.6,8.7,9.6,9.9,10.7,,,,,
"Toledo, OH………………………………………………..",9.2,6.4,9.5,12.6,10.2,,,,,
"Tucson, AZ ..........................................................................................................................................................................................................",10.1,9.8,6.9,4.4,7.3,,,,,
"Tulsa, OK....................................................................................................................................................................................................",9.1,8.2,8.5,10.1,8.5,,,,,
"Urban Honolulu, HI29..................................................................................................................................",7.4,9.4,8.0,6.5,5.7,,,,,
"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",7.5,8.2,8.2,7.1,7.1,,,,,
"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",5.7,6.0,6.2,6.2,5.6,,,,,
"Worcester, MA.........................................................................................................................................................................................",2.9,3.7,3.9,2.6,2.5,,,,,
,,,,,,,,,,
