Year,CountyID,State,County,Median Income
2019,SanDiego2019,CA,SanDiego,83576
1989,Denver1989,CO,Denver,24845
1990,Denver1990,CO,Denver,.
1991,Denver1991,CO,Denver,.
1992,Denver1992,CO,Denver,.
1993,Denver1993,CO,Denver,29440
1994,Denver1994,CO,Denver,.
1995,Denver1995,CO,Denver,31944
1996,Denver1996,CO,Denver,.
1997,Denver1997,CO,Denver,35616
1998,Denver1998,CO,Denver,38943
1999,Denver1999,CO,Denver,39093
2000,Denver2000,CO,Denver,41657
2001,Denver2001,CO,Denver,40709
2002,Denver2002,CO,Denver,40082
2003,Denver2003,CO,Denver,41036
2004,Denver2004,CO,Denver,41767
2005,Denver2005,CO,Denver,42576
2006,Denver2006,CO,Denver,41357
2007,Denver2007,CO,Denver,44881
2008,Denver2008,CO,Denver,46305
2009,Denver2009,CO,Denver,46693
2010,Denver2010,CO,Denver,45415
2011,Denver2011,CO,Denver,47584
2012,Denver2012,CO,Denver,50455
2013,Denver2013,CO,Denver,51156
2014,Denver2014,CO,Denver,54872
2015,Denver2015,CO,Denver,57886
2016,Denver2016,CO,Denver,61038
2017,Denver2017,CO,Denver,64974
2018,Denver2018,CO,Denver,68069
2019,Denver2019,CO,Denver,75456
1989,ElPaso1989,CO,ElPaso,28225
1990,ElPaso1990,CO,ElPaso,.
1991,ElPaso1991,CO,ElPaso,.
1992,ElPaso1992,CO,ElPaso,.
1993,ElPaso1993,CO,ElPaso,34192
1994,ElPaso1994,CO,ElPaso,.
1995,ElPaso1995,CO,ElPaso,39180
1996,ElPaso1996,CO,ElPaso,.
1997,ElPaso1997,CO,ElPaso,42023
1998,ElPaso1998,CO,ElPaso,43755
1999,ElPaso1999,CO,ElPaso,45638
2000,ElPaso2000,CO,ElPaso,48991
2001,ElPaso2001,CO,ElPaso,48583
2002,ElPaso2002,CO,ElPaso,48626
2003,ElPaso2003,CO,ElPaso,49292
2004,ElPaso2004,CO,ElPaso,50312
2005,ElPaso2005,CO,ElPaso,50878
2006,ElPaso2006,CO,ElPaso,53234
2007,ElPaso2007,CO,ElPaso,55253
2008,ElPaso2008,CO,ElPaso,59061
2009,ElPaso2009,CO,ElPaso,55621
2010,ElPaso2010,CO,ElPaso,51553
2011,ElPaso2011,CO,ElPaso,54857
2012,ElPaso2012,CO,ElPaso,55312
2013,ElPaso2013,CO,ElPaso,57072
2014,ElPaso2014,CO,ElPaso,59286
2015,ElPaso2015,CO,ElPaso,60050
2016,ElPaso2016,CO,ElPaso,63610
2017,ElPaso2017,CO,ElPaso,65260
2018,ElPaso2018,CO,ElPaso,67923
2019,ElPaso2019,CO,ElPaso,72675
1989,Sumter1989,FL,Sumter,17208
1990,Sumter1990,FL,Sumter,.
1991,Sumter1991,FL,Sumter,.
1992,Sumter1992,FL,Sumter,.
1993,Sumter1993,FL,Sumter,20055
1994,Sumter1994,FL,Sumter,.
1995,Sumter1995,FL,Sumter,24024
1996,Sumter1996,FL,Sumter,.
1997,Sumter1997,FL,Sumter,25601
1998,Sumter1998,FL,Sumter,27360
1999,Sumter1999,FL,Sumter,30090
2000,Sumter2000,FL,Sumter,31730
2001,Sumter2001,FL,Sumter,30559
2002,Sumter2002,FL,Sumter,31673
2003,Sumter2003,FL,Sumter,34044
2004,Sumter2004,FL,Sumter,37523
2005,Sumter2005,FL,Sumter,36194
2006,Sumter2006,FL,Sumter,42459
2007,Sumter2007,FL,Sumter,42828
2008,Sumter2008,FL,Sumter,48106
2009,Sumter2009,FL,Sumter,46586
2010,Sumter2010,FL,Sumter,45165
2011,Sumter2011,FL,Sumter,44595
2012,Sumter2012,FL,Sumter,47017
2013,Sumter2013,FL,Sumter,52670
2014,Sumter2014,FL,Sumter,51907
2015,Sumter2015,FL,Sumter,54592
2016,Sumter2016,FL,Sumter,56568
2017,Sumter2017,FL,Sumter,57931
2018,Sumter2018,FL,Sumter,55324
2019,Sumter2019,FL,Sumter,63464
1997,MiamiDade1997,FL,MiamiDade,30000
1998,MiamiDade1998,FL,MiamiDade,30669
1999,MiamiDade1999,FL,MiamiDade,32287
2000,MiamiDade2000,FL,MiamiDade,33228
2001,MiamiDade2001,FL,MiamiDade,32194
2002,MiamiDade2002,FL,MiamiDade,31531
2003,MiamiDade2003,FL,MiamiDade,33054
2004,MiamiDade2004,FL,MiamiDade,34682
2005,MiamiDade2005,FL,MiamiDade,37142
2006,MiamiDade2006,FL,MiamiDade,41178
2007,MiamiDade2007,FL,MiamiDade,43495
2008,MiamiDade2008,FL,MiamiDade,43921
2009,MiamiDade2009,FL,MiamiDade,41367
2010,MiamiDade2010,FL,MiamiDade,40145
2011,MiamiDade2011,FL,MiamiDade,40476
2012,MiamiDade2012,FL,MiamiDade,41311
2013,MiamiDade2013,FL,MiamiDade,41840
2014,MiamiDade2014,FL,MiamiDade,42754
2015,MiamiDade2015,FL,MiamiDade,43687
2016,MiamiDade2016,FL,MiamiDade,45886
2017,MiamiDade2017,FL,MiamiDade,49758
2018,MiamiDade2018,FL,MiamiDade,52043
2019,MiamiDade2019,FL,MiamiDade,54991
1989,Ada1989,ID,Ada,30093
1990,Ada1990,ID,Ada,.
1991,Ada1991,ID,Ada,.
1992,Ada1992,ID,Ada,.
1993,Ada1993,ID,Ada,36652
1994,Ada1994,ID,Ada,.
1995,Ada1995,ID,Ada,41783
1996,Ada1996,ID,Ada,.
1997,Ada1997,ID,Ada,43321
1998,Ada1998,ID,Ada,44772
1999,Ada1999,ID,Ada,46293
2000,Ada2000,ID,Ada,48285
2001,Ada2001,ID,Ada,47930
2002,Ada2002,ID,Ada,47947
2003,Ada2003,ID,Ada,49512
2004,Ada2004,ID,Ada,50754
2005,Ada2005,ID,Ada,51343
2006,Ada2006,ID,Ada,53909
2007,Ada2007,ID,Ada,55121
2008,Ada2008,ID,Ada,57159
2009,Ada2009,ID,Ada,53828
2010,Ada2010,ID,Ada,50909
2011,Ada2011,ID,Ada,50701
2012,Ada2012,ID,Ada,54337
2013,Ada2013,ID,Ada,53420
2014,Ada2014,ID,Ada,57908
2015,Ada2015,ID,Ada,58431
2016,Ada2016,ID,Ada,61571
2017,Ada2017,ID,Ada,61469
2018,Ada2018,ID,Ada,66827
2019,Ada2019,ID,Ada,72295
1989,Cook1989,IL,Cook,29711
1990,Cook1990,IL,Cook,.
1991,Cook1991,IL,Cook,.
1992,Cook1992,IL,Cook,.
1993,Cook1993,IL,Cook,33573
1994,Cook1994,IL,Cook,.
1995,Cook1995,IL,Cook,37824
1996,Cook1996,IL,Cook,.
1997,Cook1997,IL,Cook,40181
1998,Cook1998,IL,Cook,41815
1999,Cook1999,IL,Cook,43128
2000,Cook2000,IL,Cook,45239
2001,Cook2001,IL,Cook,43569
2002,Cook2002,IL,Cook,42863
2003,Cook2003,IL,Cook,42723
2004,Cook2004,IL,Cook,43584
2005,Cook2005,IL,Cook,48919
2006,Cook2006,IL,Cook,50682
2007,Cook2007,IL,Cook,52554
2008,Cook2008,IL,Cook,54559
2009,Cook2009,IL,Cook,52516
2010,Cook2010,IL,Cook,51457
2011,Cook2011,IL,Cook,50806
2012,Cook2012,IL,Cook,52160
2013,Cook2013,IL,Cook,53795
2014,Cook2014,IL,Cook,55058
2015,Cook2015,IL,Cook,56841
2016,Cook2016,IL,Cook,60025
2017,Cook2017,IL,Cook,61401
2018,Cook2018,IL,Cook,63347
2019,Cook2019,IL,Cook,69375
1989,Williams1989,ND,Williams,26078
1990,Williams1990,ND,Williams,.
1991,Williams1991,ND,Williams,.
1992,Williams1992,ND,Williams,.
1993,Williams1993,ND,Williams,28930
1994,Williams1994,ND,Williams,.
1995,Williams1995,ND,Williams,30123
1996,Williams1996,ND,Williams,.
1997,Williams1997,ND,Williams,33249
1998,Williams1998,ND,Williams,32806
1999,Williams1999,ND,Williams,31860
2000,Williams2000,ND,Williams,33500
2001,Williams2001,ND,Williams,33570
2002,Williams2002,ND,Williams,34145
2003,Williams2003,ND,Williams,36452
2004,Williams2004,ND,Williams,38115
2005,Williams2005,ND,Williams,39921
2006,Williams2006,ND,Williams,40383
2007,Williams2007,ND,Williams,48919
2008,Williams2008,ND,Williams,50303
2009,Williams2009,ND,Williams,53958
2010,Williams2010,ND,Williams,56689
2011,Williams2011,ND,Williams,67492
2012,Williams2012,ND,Williams,79265
2013,Williams2013,ND,Williams,84237
2014,Williams2014,ND,Williams,86354
2015,Williams2015,ND,Williams,89860
2016,Williams2016,ND,Williams,81719
2017,Williams2017,ND,Williams,80161
2018,Williams2018,ND,Williams,79354
2019,Williams2019,ND,Williams,84606
1989,Bernalillo1989,NM,Bernalillo,26324
1990,Bernalillo1990,NM,Bernalillo,.
1991,Bernalillo1991,NM,Bernalillo,.
1992,Bernalillo1992,NM,Bernalillo,.
1993,Bernalillo1993,NM,Bernalillo,31788
1994,Bernalillo1994,NM,Bernalillo,.
1995,Bernalillo1995,NM,Bernalillo,34714
1996,Bernalillo1996,NM,Bernalillo,.
1997,Bernalillo1997,NM,Bernalillo,36853
1998,Bernalillo1998,NM,Bernalillo,38731
1999,Bernalillo1999,NM,Bernalillo,38513
2000,Bernalillo2000,NM,Bernalillo,39072
2001,Bernalillo2001,NM,Bernalillo,39224
2002,Bernalillo2002,NM,Bernalillo,39465
2003,Bernalillo2003,NM,Bernalillo,41115
2004,Bernalillo2004,NM,Bernalillo,43047
2005,Bernalillo2005,NM,Bernalillo,42584
2006,Bernalillo2006,NM,Bernalillo,43865
2007,Bernalillo2007,NM,Bernalillo,45147
2008,Bernalillo2008,NM,Bernalillo,46988
2009,Bernalillo2009,NM,Bernalillo,45550
2010,Bernalillo2010,NM,Bernalillo,47405
2011,Bernalillo2011,NM,Bernalillo,44224
2012,Bernalillo2012,NM,Bernalillo,46200
2013,Bernalillo2013,NM,Bernalillo,48053
2014,Bernalillo2014,NM,Bernalillo,47192
2015,Bernalillo2015,NM,Bernalillo,47870
2016,Bernalillo2016,NM,Bernalillo,50599
2017,Bernalillo2017,NM,Bernalillo,51091
2018,Bernalillo2018,NM,Bernalillo,51372
2019,Bernalillo2019,NM,Bernalillo,56148
1989,Clark1989,NV,Clark,28249
1990,Clark1990,NV,Clark,.
1991,Clark1991,NV,Clark,.
1992,Clark1992,NV,Clark,.
1993,Clark1993,NV,Clark,34216
1994,Clark1994,NV,Clark,.
1995,Clark1995,NV,Clark,38184
1996,Clark1996,NV,Clark,.
1997,Clark1997,NV,Clark,39586
1998,Clark1998,NV,Clark,40720
1999,Clark1999,NV,Clark,41968
2000,Clark2000,NV,Clark,43454
2001,Clark2001,NV,Clark,42810
2002,Clark2002,NV,Clark,42243
2003,Clark2003,NV,Clark,43756
2004,Clark2004,NV,Clark,45793
2005,Clark2005,NV,Clark,49565
2006,Clark2006,NV,Clark,53472
2007,Clark2007,NV,Clark,55960
2008,Clark2008,NV,Clark,56691
2009,Clark2009,NV,Clark,53512
2010,Clark2010,NV,Clark,51427
2011,Clark2011,NV,Clark,48343
2012,Clark2012,NV,Clark,49583
2013,Clark2013,NV,Clark,51071
2014,Clark2014,NV,Clark,51241
2015,Clark2015,NV,Clark,51624
2016,Clark2016,NV,Clark,54455
2017,Clark2017,NV,Clark,57217
2018,Clark2018,NV,Clark,57155
2019,Clark2019,NV,Clark,62131
1989,Washoe1989,NV,Washoe,30472
1990,Washoe1990,NV,Washoe,.
1991,Washoe1991,NV,Washoe,.
1992,Washoe1992,NV,Washoe,.
1993,Washoe1993,NV,Washoe,35543
1994,Washoe1994,NV,Washoe,.
1995,Washoe1995,NV,Washoe,38722
1996,Washoe1996,NV,Washoe,.
1997,Washoe1997,NV,Washoe,42070
1998,Washoe1998,NV,Washoe,43750
1999,Washoe1999,NV,Washoe,44678
2000,Washoe2000,NV,Washoe,49431
2001,Washoe2001,NV,Washoe,49482
2002,Washoe2002,NV,Washoe,49957
2003,Washoe2003,NV,Washoe,50155
2004,Washoe2004,NV,Washoe,50167
2005,Washoe2005,NV,Washoe,49200
2006,Washoe2006,NV,Washoe,52406
2007,Washoe2007,NV,Washoe,54524
2008,Washoe2008,NV,Washoe,57355
2009,Washoe2009,NV,Washoe,53036
2010,Washoe2010,NV,Washoe,50839
2011,Washoe2011,NV,Washoe,50910
2012,Washoe2012,NV,Washoe,49449
2013,Washoe2013,NV,Washoe,53565
2014,Washoe2014,NV,Washoe,52862
2015,Washoe2015,NV,Washoe,56457
2016,Washoe2016,NV,Washoe,58253
2017,Washoe2017,NV,Washoe,61506
2018,Washoe2018,NV,Washoe,63636
2019,Washoe2019,NV,Washoe,71733
1989,Kings1989,NY,Kings,21968
1990,Kings1990,NY,Kings,.
1991,Kings1991,NY,Kings,.
1992,Kings1992,NY,Kings,.
1993,Kings1993,NY,Kings,24122
1994,Kings1994,NY,Kings,.
1995,Kings1995,NY,Kings,24034
1996,Kings1996,NY,Kings,.
1997,Kings1997,NY,Kings,26108
1998,Kings1998,NY,Kings,27556
1999,Kings1999,NY,Kings,28582
2000,Kings2000,NY,Kings,30302
2001,Kings2001,NY,Kings,29765
2002,Kings2002,NY,Kings,29961
2003,Kings2003,NY,Kings,30672
2004,Kings2004,NY,Kings,32339
2005,Kings2005,NY,Kings,37098
2006,Kings2006,NY,Kings,40266
2007,Kings2007,NY,Kings,41304
2008,Kings2008,NY,Kings,43172
2009,Kings2009,NY,Kings,42932
2010,Kings2010,NY,Kings,42047
2011,Kings2011,NY,Kings,42437
2012,Kings2012,NY,Kings,44850
2013,Kings2013,NY,Kings,47067
2014,Kings2014,NY,Kings,47547
2015,Kings2015,NY,Kings,51026
2016,Kings2016,NY,Kings,54793
2017,Kings2017,NY,Kings,56548
2018,Kings2018,NY,Kings,60862
2019,Kings2019,NY,Kings,66501
1989,NewYork1989,NY,NewYork,27667
1990,NewYork1990,NY,NewYork,.
1991,NewYork1991,NY,NewYork,.
1992,NewYork1992,NY,NewYork,.
1993,NewYork1993,NY,NewYork,31962
1994,NewYork1994,NY,NewYork,.
1995,NewYork1995,NY,NewYork,34405
1996,NewYork1996,NY,NewYork,.
1997,NewYork1997,NY,NewYork,38224
1998,NewYork1998,NY,NewYork,41590
1999,NewYork1999,NY,NewYork,42436
2000,NewYork2000,NY,NewYork,44085
2001,NewYork2001,NY,NewYork,42732
2002,NewYork2002,NY,NewYork,43239
2003,NewYork2003,NY,NewYork,43930
2004,NewYork2004,NY,NewYork,45290
2005,NewYork2005,NY,NewYork,55561
2006,NewYork2006,NY,NewYork,59542
2007,NewYork2007,NY,NewYork,63704
2008,NewYork2008,NY,NewYork,68402
2009,NewYork2009,NY,NewYork,68295
2010,NewYork2010,NY,NewYork,63188
2011,NewYork2011,NY,NewYork,65833
2012,NewYork2012,NY,NewYork,66739
2013,NewYork2013,NY,NewYork,71443
2014,NewYork2014,NY,NewYork,75459
2015,NewYork2015,NY,NewYork,75136
2016,NewYork2016,NY,NewYork,77214
2017,NewYork2017,NY,NewYork,84133
2018,NewYork2018,NY,NewYork,84610
2019,NewYork2019,NY,NewYork,93007
1989,Clackamas1989,OR,Clackamas,34897
1990,Clackamas1990,OR,Clackamas,.
1991,Clackamas1991,OR,Clackamas,.
1992,Clackamas1992,OR,Clackamas,.
1993,Clackamas1993,OR,Clackamas,40721
1994,Clackamas1994,OR,Clackamas,.
1995,Clackamas1995,OR,Clackamas,45061
1996,Clackamas1996,OR,Clackamas,.
1997,Clackamas1997,OR,Clackamas,49455
1998,Clackamas1998,OR,Clackamas,50999
1999,Clackamas1999,OR,Clackamas,51117
2000,Clackamas2000,OR,Clackamas,52670
2001,Clackamas2001,OR,Clackamas,52640
2002,Clackamas2002,OR,Clackamas,52550
2003,Clackamas2003,OR,Clackamas,52367
2004,Clackamas2004,OR,Clackamas,53150
2005,Clackamas2005,OR,Clackamas,54743
2006,Clackamas2006,OR,Clackamas,56287
2007,Clackamas2007,OR,Clackamas,61325
2008,Clackamas2008,OR,Clackamas,65862
2009,Clackamas2009,OR,Clackamas,60051
2010,Clackamas2010,OR,Clackamas,57960
2011,Clackamas2011,OR,Clackamas,58496
2012,Clackamas2012,OR,Clackamas,64231
2013,Clackamas2013,OR,Clackamas,66514
2014,Clackamas2014,OR,Clackamas,65555
2015,Clackamas2015,OR,Clackamas,69523
2016,Clackamas2016,OR,Clackamas,74460
2017,Clackamas2017,OR,Clackamas,79404
2018,Clackamas2018,OR,Clackamas,81061
2019,Clackamas2019,OR,Clackamas,80539
1989,Multnomah1989,OR,Multnomah,26778
1990,Multnomah1990,OR,Multnomah,.
1991,Multnomah1991,OR,Multnomah,.
1992,Multnomah1992,OR,Multnomah,.
1993,Multnomah1993,OR,Multnomah,29759
1994,Multnomah1994,OR,Multnomah,.
1995,Multnomah1995,OR,Multnomah,34966
1996,Multnomah1996,OR,Multnomah,.
1997,Multnomah1997,OR,Multnomah,38225
1998,Multnomah1998,OR,Multnomah,40038
1999,Multnomah1999,OR,Multnomah,40608
2000,Multnomah2000,OR,Multnomah,43153
2001,Multnomah2001,OR,Multnomah,42422
2002,Multnomah2002,OR,Multnomah,41553
2003,Multnomah2003,OR,Multnomah,41781
2004,Multnomah2004,OR,Multnomah,42334
2005,Multnomah2005,OR,Multnomah,43055
2006,Multnomah2006,OR,Multnomah,45542
2007,Multnomah2007,OR,Multnomah,48876
2008,Multnomah2008,OR,Multnomah,51372
2009,Multnomah2009,OR,Multnomah,50604
2010,Multnomah2010,OR,Multnomah,48018
2011,Multnomah2011,OR,Multnomah,46989
2012,Multnomah2012,OR,Multnomah,51580
2013,Multnomah2013,OR,Multnomah,53624
2014,Multnomah2014,OR,Multnomah,53519
2015,Multnomah2015,OR,Multnomah,58764
2016,Multnomah2016,OR,Multnomah,62292
2017,Multnomah2017,OR,Multnomah,63587
2018,Multnomah2018,OR,Multnomah,70756
2019,Multnomah2019,OR,Multnomah,72469
1989,Washington1989,OR,Washington,36115
1990,Washington1990,OR,Washington,.
1991,Washington1991,OR,Washington,.
1992,Washington1992,OR,Washington,.
1993,Washington1993,OR,Washington,42298
1994,Washington1994,OR,Washington,.
1995,Washington1995,OR,Washington,46835
1996,Washington1996,OR,Washington,.
1997,Washington1997,OR,Washington,49753
1998,Washington1998,OR,Washington,51775
1999,Washington1999,OR,Washington,52032
